Character ID,Main Name,Aliases,Gender,Category
0,The Coloured Archdeacon,"{'A Coloured Archdeacon', 'The Coloured Archdeacon'}",M,minor
1,A Little Old Woman,['A Little Old Woman'],F,minor
2,Agnes,{'Agnes'},F,minor
3,Allan,{'Allan'},M,minor
4,Ambrose,['Ambrose'],X,minor
5,John Beaver,"{'Beaver', 'The Voice', 'John', 'John Beaver', 'Mr. Beaver', ""Mrs Beaver'S Son""}",M,major
6,Ben,"{'Mr Hacket', 'Mr. Hacket', 'Ben', 'Ben Hacket'}",M,intermediate
7,Brenda,"{'Brenda', 'Lady Brenda'}",F,major
8,Daisy,{'Daisy'},F,minor
9,Dr Messinger,"{'Dr Mesinger', 'Dr Messinger'}",M,intermediate
10,Jenny Abdul Akbar,"{'Jenny Abdul Akbar', 'Princess Abdul Akbar'}",F,intermediate
11,Jock Grant-Menzies,"{'Mr. Grant-Menzies', 'Jock', 'Jock Grant-Menzies'}",M,minor
12,John Andrew,"{'Johnny-Boy', 'John Last', 'John Andrew'}",M,intermediate
13,Lady St. Cloud,"{'Lady St Cloud', 'Lady St. Cloud'}",F,minor
14,Margot,['Margot'],X,minor
15,Marjorie,{'Marjorie'},F,intermediate
16,Milly,{'Milly'},F,intermediate
17,Molly Last,"{'Molly', 'Molly Last'}",F,minor
18,Mr Graceful,{'Mr Graceful'},M,minor
19,Mr Todd,{'Mr Todd'},M,intermediate
20,Mrs Arnold Fischbaum,['Mrs Arnold Fischbaum'],F,minor
21,Mrs Last,{'Mrs Last'},F,minor
22,Rosa,{'Rosa'},F,intermediate
23,Polly Cockpurse,"{'Polly Cockpurse', 'Polly', 'Lady Cockpurse'}",F,intermediate
24,Reggie St Cloud,{'Reggie St Cloud'},M,intermediate
25,Richard Last,"{'Mr Last', 'Richard Last'}",M,minor
26,Souki,{'Souki'},F,minor
27,Teddy Last,"{'Teddy Last', 'Teddy'}",M,minor
28,The Black Boy,{'The Black Boy'},M,minor
29,The Genial Passenger,{'The Genial Passenger'},M,minor
30,The Under-Secretary,"{'The Under-Secretary', 'Under-Secretary'}",M,minor
31,The Waiter,{'The Waiter'},M,minor
32,The Wife Of The Archdeacon,['The Wife Of The Archdeacon'],X,minor
33,Therese De Vitre,"{'Thérèse De Vitré', 'Therese De Vitre'}",F,intermediate
34,Thérèse De Vitré'S Father,"[""Thérèse De Vitré'S Father""]",M,minor
35,Tony Last,"{'Tony', 'Tony Last', 'Mr. Last'}",M,major
36,Unknowable,"{'Unknowable', 'Unknown'}",U,intermediate
