quoteID,quoteText,subQuotationList,quoteByteSpans,speaker,addressees,quoteType,referringExpression,mentionTextsList,mentionSpansList,mentionEntitiesList
Q0,"Hamidullah, Hamidullah! am I late?","['Hamidullah, Hamidullah! am I late?']","[[4698, 4732]]",Dr. Aziz,"['Mahmoud Ali', 'Hamidullah']",Anaphoric,he cried,[[]],[[]],[[]]
Q1,"Do not apologize, You are always late.","['Do not apologize,', 'You are always late.']","[[4746, 4763], [4781, 4801]]",Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']",Anaphoric,said his host,"[[], ['You']]","[[], [[4781, 4784]]]","[[], [['Dr. Aziz']]]"
Q2,"Kindly answer my question. Am I late? Has Mahmoud Ali eaten all
the food? If so I go elsewhere. Mr. Mahmoud Ali, how are you?","['Kindly answer my question. Am I late? Has Mahmoud Ali eaten all\nthe food? If so I go elsewhere. Mr. Mahmoud Ali, how are you?']","[[4805, 4930]]",Dr. Aziz,"['Mahmoud Ali', 'Hamidullah']",Implicit,,"[[' Mahmoud Ali ', 'Mr. Mahmoud Ali', 'you']]","[[[4846, 4859], [4901, 4916], [4926, 4929]]]","[[['Mahmoud Ali'], ['Mahmoud Ali'], ['Mahmoud Ali']]]"
Q3,"Thank you, Dr. Aziz, I am dying.","['Thank you, Dr. Aziz, I am dying.']","[[4934, 4966]]",Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",Implicit,,"[['you', 'Dr. Aziz']]","[[[4940, 4943], [4945, 4953]]]","[[['Dr. Aziz'], ['Dr. Aziz']]]"
Q4,"Dying before your dinner? Oh, poor Mahmoud Ali!","['Dying before your dinner? Oh, poor Mahmoud Ali!']","[[4970, 5017]]",Dr. Aziz,"['Mahmoud Ali', 'Hamidullah']",Implicit,,"[['your', 'poor Mahmoud Ali']]","[[[4983, 4987], [5000, 5016]]]","[[['Mahmoud Ali'], ['Mahmoud Ali']]]"
Q5,"Hamidullah here is actually dead. He passed away just as you rode
up on your bike.",['Hamidullah here is actually dead. He passed away just as you rode\nup on your bike.'],"[[5021, 5103]]",Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",Implicit,,"[['Hamidullah', 'He', 'you', 'your']]","[[[5021, 5031], [5055, 5057], [5078, 5081], [5093, 5097]]]","[[['Hamidullah'], ['Hamidullah'], ['Dr. Aziz'], ['Dr. Aziz']]]"
Q6,"Yes, that is so, Imagine us both as addressing
you from another and a happier world.","['Yes, that is so,', 'Imagine us both as addressing\nyou from another and a happier world.']","[[5107, 5123], [5142, 5209]]",Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']",Anaphoric,said the other,"[[], ['us', 'you']]","[[], [[5150, 5152], [5172, 5175]]]","[[], [['Mahmoud Ali', 'Hamidullah'], ['Dr. Aziz']]]"
Q7,"Does there happen to be such a thing as a hookah in that happier
world of yours?",['Does there happen to be such a thing as a hookah in that happier\nworld of yours?'],"[[5213, 5293]]",Dr. Aziz,"['Mahmoud Ali', 'Hamidullah']",Implicit,,[['yours']],"[[[5287, 5292]]]","[[['Mahmoud Ali', 'Hamidullah']]]"
Q8,"Aziz, don't chatter. We are having a very sad talk.","[""Aziz, don't chatter. We are having a very sad talk.""]","[[5297, 5348]]",Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']",Implicit,,"[['Aziz', 'We']]","[[[5297, 5301], [5318, 5320]]]","[[['Dr. Aziz'], ['Mahmoud Ali', 'Hamidullah']]]"
Q9,"Well, look at my own experience this morning.","['Well, look at my own experience this morning.']","[[6121, 6166]]",Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",Implicit,,[[]],[[]],[[]]
Q10,"I only contend that it is possible in England,","['I only contend that it is possible in England,']","[[6170, 6216]]",Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']",Explicit,replied Hamidullah,[[]],[[]],[[]]
Q11,"It is impossible here. Aziz! The red-nosed boy has again insulted
me in Court. I do not blame him. He was told that he ought to
insult me. Until lately he was quite a nice boy, but the others
have got hold of him.","['It is impossible here. Aziz! The red-nosed boy has again insulted\nme in Court. I do not blame him. He was told that he ought to\ninsult me. Until lately he was quite a nice boy, but the others\nhave got hold of him.']","[[6349, 6562]]",Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",Implicit,,"[['Aziz', 'The red-nosed boy', 'him', 'He', 'he', 'he', 'him']]","[[[6372, 6376], [6378, 6395], [6443, 6446], [6448, 6450], [6465, 6467], [6501, 6503], [6558, 6561]]]","[[['Dr. Aziz'], ['Ronny Heaslop'], ['Ronny Heaslop'], ['Ronny Heaslop'], ['Ronny Heaslop'], ['Ronny Heaslop'], ['Ronny Heaslop']]]"
Q12,"Yes, they have no chance here, that is my point. They come out
intending to be gentlemen, and are told it will not do. Look at
Lesley, look at Blakiston, now it is your red-nosed boy, and
Fielding will go next. Why, I remember when Turton came out first.
It was in another part of the Province. You fellows will not
believe me, but I have driven with Turton in his carriage   Turton!
Oh yes, we were once quite intimate. He has shown me his stamp
collection.","['Yes, they have no chance here, that is my point. They come out\nintending to be gentlemen, and are told it will not do. Look at\nLesley, look at Blakiston, now it is your red-nosed boy, and\nFielding will go next. Why, I remember when Turton came out first.\nIt was in another part of the Province. You fellows will not\nbelieve me, but I have driven with Turton in his carriage   Turton!\nOh yes, we were once quite intimate. He has shown me his stamp\ncollection.']","[[6566, 7024]]",Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']",Implicit,,"[['your red-nosed boy', 'Fielding', 'You fellows', 'Turton', 'his', 'Turton', 'we', 'He', 'his']]","[[[6730, 6748], [6754, 6762], [6861, 6872], [6917, 6923], [6927, 6930], [6942, 6948], [6958, 6960], [6987, 6989], [7003, 7006]]]","[[['Ronny Heaslop'], ['Cyril Fielding'], ['Mahmoud Ali', 'Dr. Aziz'], ['Mr. Turton'], ['Mr. Turton'], ['Mr. Turton'], ['Hamidullah', 'Mr. Turton'], ['Mr. Turton'], ['Mr. Turton']]]"
Q13,"He would expect you to steal it now. Turton! But red-nosed boy
will be far worse than Turton!",['He would expect you to steal it now. Turton! But red-nosed boy\nwill be far worse than Turton!'],"[[7028, 7121]]",Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",Implicit,,"[['He', 'you', 'Turton', 'red-nosed boy', 'Turton']]","[[[7028, 7030], [7044, 7047], [7065, 7071], [7077, 7090], [7114, 7120]]]","[[['Mr. Turton'], ['Hamidullah'], ['Mr. Turton'], ['Ronny Heaslop'], ['Mr. Turton']]]"
Q14,"I do not think so. They all become exactly the same, not worse,
not better. I give any Englishman two years, be he Turton or
Burton. It is only the difference of a letter. And I give any
Englishwoman six months. All are exactly alike. Do you not agree
with me?","['I do not think so. They all become exactly the same, not worse,\nnot better. I give any Englishman two years, be he Turton or\nBurton. It is only the difference of a letter. And I give any\nEnglishwoman six months. All are exactly alike. Do you not agree\nwith me?']","[[7125, 7385]]",Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']",Implicit,,"[['Turton', 'you']]","[[[7240, 7246], [7363, 7366]]]","[[['Mr. Turton'], ['Mahmoud Ali']]]"
Q15,"I do not, For
my own part I find such profound differences among our rulers.
Red-nose mumbles, Turton talks distinctly, Mrs. Turton takes
bribes, Mrs. Red-nose does not and cannot, because so far there is
no Mrs. Red-nose.","['I do not,', 'For\nmy own part I find such profound differences among our rulers.\nRed-nose mumbles, Turton talks distinctly, Mrs. Turton takes\nbribes, Mrs. Red-nose does not and cannot, because so far there is\nno Mrs. Red-nose.']","[[7389, 7398], [7519, 7731]]",Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",Explicit,replied Mahmoud Ali,"[[], ['Turton', 'Mrs. Turton']]","[[], [[7604, 7610], [7629, 7640]]]","[[], [['Mr. Turton'], ['Mrs. Turton']]]"
Q16,Bribes?,['Bribes?'],"[[7735, 7742]]",Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']",Implicit,,[[]],[[]],[[]]
Q17,"Did you not know that when they were lent to Central India over
a Canal Scheme, some Rajah or other gave her a sewing machine in
solid gold so that the water should run through his state.","['Did you not know that when they were lent to Central India over\na Canal Scheme, some Rajah or other gave her a sewing machine in\nsolid gold so that the water should run through his state.']","[[7746, 7933]]",Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",Implicit,,"[['you', 'they', 'her']]","[[[7750, 7753], [7773, 7777], [7851, 7854]]]","[[['Hamidullah'], ['Mrs. Turton', 'Mr. Turton'], ['Mrs. Turton']]]"
Q18,And does it?,['And does it?'],"[[7937, 7949]]",Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']",Implicit,,[[]],[[]],[[]]
