"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","The Signora had no business to do it, no business
at all. She promised us south rooms with a view close together, instead
of which here are north rooms, looking into a courtyard, and a long way
apart. Oh, Lucy!","['The Signora had no business to do it,', 'no business\nat all. She promised us south rooms with a view close together, instead\nof which here are north rooms, looking into a courtyard, and a long way\napart. Oh, Lucy!']","[[39, 76], [99, 271]]","Miss Bartlett","['Lucy']","Explicit","said Miss Bartlett","[['The Signora'], ['She', 'us', 'Lucy']]","[[[39, 50]], [[119, 122], [132, 134], [266, 270]]]","[[['Signora Bertolini']], [['Signora Bertolini'], ['Miss Bartlett', 'Lucy'], ['Lucy']]]"
"Q1","And a Cockney, besides! It might be London.","['And a Cockney, besides!', 'It might be London.']","[[275, 298], [378, 397]]","Lucy","['Miss Bartlett']","Explicit","said Lucy","[[], []]","[[], []]","[[], []]"
"Q2","Charlotte, don't you feel,
too, that we might be in London? I can hardly believe that all kinds of
other things are just outside. I suppose it is one's being so tired.","[""Charlotte, don't you feel,\ntoo, that we might be in London? I can hardly believe that all kinds of\nother things are just outside. I suppose it is one's being so tired.""]","[[809, 976]]","Lucy","['Miss Bartlett']","Implicit","nan","[['Charlotte', 'you', 'we']]","[[[809, 818], [826, 829], [846, 848]]]","[[['Miss Bartlett'], ['Miss Bartlett'], ['Miss Bartlett', 'Lucy']]]"
"Q3","This meat has surely been used for soup,","['This meat has surely been used for soup,']","[[980, 1020]]","Miss Bartlett","['Lucy']","Explicit","said Miss Bartlett","[[]]","[[]]","[[]]"
"Q4","I want so to see the Arno. The rooms the Signora promised us in her
letter would have looked over the Arno. The Signora had no business to
do it at all. Oh, it is a shame!","['I want so to see the Arno. The rooms the Signora promised us in her\nletter would have looked over the Arno. The Signora had no business to\ndo it at all. Oh, it is a shame!']","[[1066, 1237]]","Lucy","['Miss Bartlett']","Implicit","nan","[['the Signora', 'us', 'her', 'The Signora']]","[[[1103, 1114], [1124, 1126], [1130, 1133], [1174, 1185]]]","[[['Signora Bertolini'], ['Miss Bartlett', 'Lucy'], ['Signora Bertolini'], ['Signora Bertolini']]]"
"Q5","Any nook does for me, but it does seem hard
that you shouldn't have a view.","['Any nook does for me,', ""but it does seem hard\nthat you shouldn't have a view.""]","[[1241, 1262], [1290, 1343]]","Miss Bartlett","['Lucy']","Explicit","Miss Bartlett continued","[[], ['you']]","[[], [[1317, 1320]]]","[[], [['Lucy']]]"
"Q6","Charlotte, you mustn't spoil me:
of course, you must look over the Arno, too. I meant that. The first
vacant room in the front--","[""Charlotte, you mustn't spoil me:\nof course, you must look over the Arno, too. I meant that. The first\nvacant room in the front--""]","[[1384, 1512]]","Lucy","['Miss Bartlett']","Implicit","nan","[['Charlotte', 'you', 'you']]","[[[1384, 1393], [1395, 1398], [1428, 1431]]]","[[['Miss Bartlett'], ['Miss Bartlett'], ['Miss Bartlett']]]"
"Q7","You must have it,","['You must have it,']","[[1515, 1532]]","Miss Bartlett","['Lucy']","Explicit","said Miss Bartlett","[['You']]","[[[1515, 1518]]]","[[['Lucy']]]"
"Q8","No, no. You must have it.","['No, no. You must have it.']","[[1683, 1708]]","Lucy","['Miss Bartlett']","Implicit","nan","[['You']]","[[[1691, 1694]]]","[[['Miss Bartlett']]]"
"Q9","I insist on it. Your mother would never forgive me, Lucy.","['I insist on it. Your mother would never forgive me, Lucy.']","[[1712, 1769]]","Miss Bartlett","['Lucy']","Implicit","nan","[['Lucy']]","[[[1764, 1768]]]","[[['Lucy']]]"
