"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","and what is the use of a book, without pictures or conversations?","['and what is the use of a book,', 'without pictures or conversations?']","[[254, 284], [301, 335]]","Alice","[]","Explicit","thought Alice","[[], []]","[[], []]","[[], []]"
"Q1","Oh
dear! Oh dear! I shall be late!","['Oh\ndear! Oh dear! I shall be late!']","[[765, 799]]","The White Rabbit","['The White Rabbit']","Explicit","the Rabbit say to itself","[[]]","[[]]","[[]]"
"Q2","Well! after such a fall as this, I shall
think nothing of tumbling down stairs! How brave they'll all think me
at home! Why, I wouldn't say anything about it, even if I fell off the
top of the house!","['Well!', ""after such a fall as this, I shall\nthink nothing of tumbling down stairs! How brave they'll all think me\nat home! Why, I wouldn't say anything about it, even if I fell off the\ntop of the house!""]","[[2420, 2425], [2454, 2647]]","Alice","['Alice']","Explicit","thought Alice to herself","[[], []]","[[], []]","[[], []]"
"Q3","I wonder how
many miles I've fallen by this time? I must be
getting somewhere near the centre of the earth. Let me see: that would
be four thousand miles down, I think-- --yes, that's about the right distance--but
then I wonder what Latitude or Longitude I've got to?","[""I wonder how\nmany miles I've fallen by this time?"", 'I must be\ngetting somewhere near the centre of the earth. Let me see: that would\nbe four thousand miles down, I think--', ""--yes, that's about the right distance--but\nthen I wonder what Latitude or Longitude I've got to?""]","[[2738, 2787], [2806, 2925], [3184, 3281]]","Alice","[]","Anaphoric","she said","[[], [], []]","[[], [], []]","[[], [], []]"
"Q4","I wonder if I shall fall right _through_
the earth! How funny it'll seem to come out among the people that walk
with their heads downward! The Antipathies, I think-- --but I shall have to ask them what the name of the
country is, you know. Please, Ma'am, is this New Zealand or Australia? And what
an ignorant little girl she'll think me for asking! No, it'll never do
to ask: perhaps I shall see it written up somewhere.","[""I wonder if I shall fall right _through_\nthe earth! How funny it'll seem to come out among the people that walk\nwith their heads downward! The Antipathies, I think--"", ""--but I shall have to ask them what the name of the\ncountry is, you know. Please, Ma'am, is this New Zealand or Australia?"", ""And what\nan ignorant little girl she'll think me for asking! No, it'll never do\nto ask: perhaps I shall see it written up somewhere.""]","[[3419, 3584], [3691, 3813], [3945, 4077]]","Alice","[]","Anaphoric","she began","[[], [], []]","[[], [], []]","[[], [], []]"
"Q5","Dinah'll miss me very much to-night, I should think! I hope they'll remember her saucer of milk at
tea-time. Dinah my dear! I wish you were down here with me! There are
no mice in the air, I'm afraid, but you might catch a bat, and that's
very like a mouse, you know. But do cats eat bats, I wonder? Do cats eat bats? Do cats eat bats? Do bats eat cats?","[""Dinah'll miss me very much to-night, I should think!"", ""I hope they'll remember her saucer of milk at\ntea-time. Dinah my dear! I wish you were down here with me! There are\nno mice in the air, I'm afraid, but you might catch a bat, and that's\nvery like a mouse, you know. But do cats eat bats, I wonder?"", 'Do cats eat bats? Do cats eat bats?', 'Do bats eat cats?']","[[4164, 4216], [4240, 4486], [4588, 4623], [4641, 4658]]","Alice","['Alice']","Explicit","Alice began to get rather sleepy and went on saying to herself","[[], ['her', 'Dinah my dear', 'you', 'you', 'you'], [], []]","[[], [[4264, 4267], [4296, 4309], [4318, 4321], [4392, 4395], [4445, 4448]], [], []]","[[], [['Dinah'], ['Dinah'], ['Dinah'], ['Dinah'], ['Dinah']], [], []]"
"Q6","Now, Dinah, tell me the truth: did you ever eat a bat?","['Now, Dinah, tell me the truth: did you ever eat a bat?']","[[4901, 4955]]","Alice","['Dinah']","Anaphoric","she was and to she was walking hand in hand with Dinah and saying to her","[['Dinah', 'you']]","[[[4906, 4911], [4936, 4939]]]","[[['Dinah'], ['Dinah']]]"
"Q7","Oh my ears
and whiskers, how late it's getting!","[""Oh my ears\nand whiskers, how late it's getting!""]","[[5402, 5449]]","The White Rabbit","[]","Anaphoric","it say","[[]]","[[]]","[[]]"
"Q8","and even if my head would go through, it would be of very little use without my shoulders. Oh,
how I wish I could shut up like a telescope! I think I could, if I only
knew how to begin.","['and even if my head would go through,', 'it would be of very little use without my shoulders. Oh,\nhow I wish I could shut up like a telescope! I think I could, if I only\nknew how to begin.']","[[6796, 6833], [6856, 7003]]","Alice","[]","Explicit","thought poor Alice","[[], []]","[[], []]","[[], []]"
"Q9","which certainly was not here
before,","['which certainly was not here\nbefore,']","[[7403, 7439]]","Alice","[]","Explicit","said Alice","[[]]","[[]]","[[]]"
