"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","I'll just step over to Green Gables after tea and find out from Marilla
where he's gone and why, He
doesn't generally go to town this time of year and he _never_ visits; if
he'd run out of turnip seed he wouldn't dress up and take the buggy to
go for more; he wasn't driving fast enough to be going for a doctor.
Yet something must have happened since last night to start him off. I'm
clean puzzled, that's what, and I won't know a minute's peace of mind or
conscience until I know what has taken Matthew Cuthbert out of Avonlea
today.","[""I'll just step over to Green Gables after tea and find out from Marilla\nwhere he's gone and why,"", ""He\ndoesn't generally go to town this time of year and he _never_ visits; if\nhe'd run out of turnip seed he wouldn't dress up and take the buggy to\ngo for more; he wasn't driving fast enough to be going for a doctor.\nYet something must have happened since last night to start him off. I'm\nclean puzzled, that's what, and I won't know a minute's peace of mind or\nconscience until I know what has taken Matthew Cuthbert out of Avonlea\ntoday.""]","[[3775, 3871], [3910, 4348]]","Rachel Lynde","[]","Anaphoric","the worthy woman finally concluded","[['Marilla', 'he'], ['He', 'he', 'he', 'he', 'he', 'him', 'Matthew Cuthbert']]","[[[3839, 3846], [3853, 3855]], [[3910, 3912], [3964, 3966], [3986, 3988], [4014, 4016], [4070, 4072], [4185, 4188], [4310, 4326]]]","[[['Marilla Cuthbert'], ['Matthew Cuthbert']], [['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert']]]"
"Q1","It's just _staying_, that's what, It's no wonder
Matthew and Marilla are both a little odd, living away back here by
themselves. Trees aren't much company, though dear knows if they were
there'd be enough of them. I'd ruther look at people. To be sure, they
seem contented enough; but then, I suppose, they're used to it. A body
can get used to anything, even to being hanged, as the Irishman said.","[""It's just _staying_, that's what,"", ""It's no wonder\nMatthew and Marilla are both a little odd, living away back here by\nthemselves. Trees aren't much company, though dear knows if they were\nthere'd be enough of them. I'd ruther look at people. To be sure, they\nseem contented enough; but then, I suppose, they're used to it. A body\ncan get used to anything, even to being hanged, as the Irishman said.""]","[[5075, 5108], [5202, 5566]]","Rachel Lynde","[]","Anaphoric","she said","[[], ['Matthew', 'Marilla', 'themselves']]","[[], [[5217, 5224], [5229, 5236], [5285, 5295]]]","[[], [['Matthew Cuthbert'], ['Marilla Cuthbert'], ['Marilla Cuthbert', 'Matthew Cuthbert']]]"
"Q2","Good evening, Rachel, This is a real fine
evening, isn't it? Won't you sit down? How are all your folks?","['Good evening, Rachel,', ""This is a real fine\nevening, isn't it? Won't you sit down? How are all your folks?""]","[[7490, 7511], [7536, 7618]]","Marilla Cuthbert","['Rachel Lynde']","Explicit","Marilla said","[['Rachel'], ['you']]","[[[7504, 7510]], [[7581, 7584]]]","[[['Rachel Lynde']], [['Rachel Lynde']]]"
"Q3","We're all pretty well, I was kind of afraid _you_
weren't, though, when I saw Matthew starting off today. I thought maybe
he was going to the doctor's.","[""We're all pretty well,"", ""I was kind of afraid _you_\nweren't, though, when I saw Matthew starting off today. I thought maybe\nhe was going to the doctor's.""]","[[8275, 8297], [8318, 8446]]","Rachel Lynde","['Marilla Cuthbert']","Explicit","said Mrs Rachel","[[], ['you', 'Matthew', 'he']]","[[], [[8340, 8343], [8373, 8380], [8417, 8419]]]","[[], [['Marilla Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert']]]"
"Q4","Oh, no, I'm quite well although I had a bad headache yesterday, Matthew went to Bright River. We're getting a little boy from an
orphan asylum in Nova Scotia and he's coming on the train tonight.","[""Oh, no, I'm quite well although I had a bad headache yesterday,"", ""Matthew went to Bright River. We're getting a little boy from an\norphan asylum in Nova Scotia and he's coming on the train tonight.""]","[[8643, 8706], [8719, 8850]]","Marilla Cuthbert","['Rachel Lynde']","Anaphoric","she said","[[], ['Matthew', 'We']]","[[], [[8719, 8726], [8749, 8751]]]","[[], [['Matthew Cuthbert'], ['Marilla Cuthbert', 'Matthew Cuthbert']]]"
"Q5","Are you in earnest, Marilla?","['Are you in earnest, Marilla?']","[[9150, 9178]]","Rachel Lynde","['Marilla Cuthbert']","Anaphoric","she demanded","[['you', 'Marilla']]","[[[9154, 9157], [9170, 9177]]]","[[['Marilla Cuthbert'], ['Marilla Cuthbert']]]"
"Q6","Yes, of course,","['Yes, of course,']","[[9223, 9238]]","Marilla Cuthbert","['Rachel Lynde']","Explicit","said Marilla","[[]]","[[]]","[[]]"
"Q7","What on earth put such a notion into your head?","['What on earth put such a notion into your head?']","[[9715, 9762]]","Rachel Lynde","['Marilla Cuthbert']","Anaphoric","she demanded","[[' your']]","[[[9751, 9756]]]","[[['Marilla Cuthbert']]]"
"Q8","Well, we've been thinking about it for some time--all winter in fact,","[""Well, we've been thinking about it for some time--all winter in fact,""]","[[9881, 9950]]","Marilla Cuthbert","['Rachel Lynde']","Explicit","returned Marilla","[['we']]","[[[9887, 9889]]]","[[['Marilla Cuthbert', 'Matthew Cuthbert']]]"
"Q9","Mrs. Alexander Spencer was up here one day before
Christmas and she said she was going to get a little girl from the
asylum over in Hopeton in the spring. Her cousin lives there and Mrs.
Spencer has visited here and knows all about it. So Matthew and I have
talked it over off and on ever since. We thought we'd get a boy. Matthew
is getting up in years, you know--he's sixty--and he isn't so spry as he
once was. His heart troubles him a good deal. And you know how desperate
hard it's got to be to get hired help. There's never anybody to be had
but those stupid, half-grown little French boys; and as soon as you do
get one broke into your ways and taught something he's up and off to the
lobster canneries or the States. At first Matthew suggested getting a
Home boy. But I said flat to that. I said. So in the end we decided to ask Mrs. Spencer to pick us out
one when she went over to get her little girl. We heard last week she
was going, so we sent her word by Richard Spencer's folks at Carmody
to bring us a smart, likely boy of about ten or eleven. We decided that
would be the best age--old enough to be of some use in doing chores
right off and young enough to be trained up proper. We mean to give him
a good home and schooling. We had a telegram from Mrs. Alexander Spencer
today--the mail-man brought it from the station--saying they were coming
on the five-thirty train tonight. So Matthew went to Bright River to
meet him. Mrs. Spencer will drop him off there. Of course she goes on to
White Sands station herself.","[""Mrs. Alexander Spencer was up here one day before\nChristmas and she said she was going to get a little girl from the\nasylum over in Hopeton in the spring. Her cousin lives there and Mrs.\nSpencer has visited here and knows all about it. So Matthew and I have\ntalked it over off and on ever since. We thought we'd get a boy. Matthew\nis getting up in years, you know--he's sixty--and he isn't so spry as he\nonce was. His heart troubles him a good deal. And you know how desperate\nhard it's got to be to get hired help. There's never anybody to be had\nbut those stupid, half-grown little French boys; and as soon as you do\nget one broke into your ways and taught something he's up and off to the\nlobster canneries or the States. At first Matthew suggested getting a\nHome boy. But I said"", 'flat to that.', 'I said.', ""So in the end we decided to ask Mrs. Spencer to pick us out\none when she went over to get her little girl. We heard last week she\nwas going, so we sent her word by Richard Spencer's folks at Carmody\nto bring us a smart, likely boy of about ten or eleven. We decided that\nwould be the best age--old enough to be of some use in doing chores\nright off and young enough to be trained up proper. We mean to give him\na good home and schooling. We had a telegram from Mrs. Alexander Spencer\ntoday--the mail-man brought it from the station--saying they were coming\non the five-thirty train tonight. So Matthew went to Bright River to\nmeet him. Mrs. Spencer will drop him off there. Of course she goes on to\nWhite Sands station herself.""]","[[9972, 10754], [10760, 10773], [10862, 10869], [11033, 11760]]","Marilla Cuthbert","[]","Explicit","returned Marilla","[['Mrs. Alexander Spencer', 'she', 'she', 'Her', 'Mrs.\nSpencer', 'Matthew', 'We', 'we', 'Matthew', 'you', 'he', 'he', 'he', 'His', 'him', 'you', 'Matthew'], [], [], ['we', 'Mrs. Spencer', 'us', 'she', 'her', 'We', 'she', 'we', 'her', 'Richard Spencer', 'us', 'We', 'We', 'We', 'Mrs. Alexander Spencer', 'Matthew', 'Mrs. Spencer', 'she']]","[[[9972, 9994], [10036, 10039], [10045, 10048], [10127, 10130], [10154, 10166], [10211, 10218], [10268, 10270], [10279, 10281], [10295, 10302], [10327, 10330], [10337, 10339], [10353, 10355], [10373, 10375], [10386, 10389], [10405, 10408], [10426, 10429], [10706, 10713]], [], [], [[11047, 11049], [11065, 11077], [11086, 11088], [11102, 11105], [11123, 11126], [11140, 11142], [11159, 11162], [11177, 11179], [11185, 11188], [11197, 11212], [11241, 11243], [11288, 11290], [11424, 11426], [11471, 11473], [11494, 11516], [11627, 11634], [11669, 11681], [11717, 11720]]]","[[['Mrs. Spencer'], ['Mrs. Spencer'], ['Mrs. Spencer'], ['Mrs. Spencer'], ['Mrs. Spencer'], ['Matthew Cuthbert'], ['Marilla Cuthbert', 'Matthew Cuthbert'], ['Marilla Cuthbert', 'Matthew Cuthbert'], ['Matthew Cuthbert'], ['Rachel Lynde'], ['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Rachel Lynde'], ['Matthew Cuthbert']], [], [], [['Marilla Cuthbert', 'Matthew Cuthbert'], ['Mrs. Spencer'], ['Marilla Cuthbert', 'Matthew Cuthbert'], ['Mrs. Spencer'], ['Mrs. Spencer'], ['Marilla Cuthbert', 'Matthew Cuthbert'], ['Mrs. Spencer'], ['Marilla Cuthbert', 'Matthew Cuthbert'], ['Mrs. Spencer'], ['Richard Spencer'], ['Marilla Cuthbert', 'Matthew Cuthbert'], ['Marilla Cuthbert', 'Matthew Cuthbert'], ['Marilla Cuthbert', 'Matthew Cuthbert'], ['Marilla Cuthbert', 'Matthew Cuthbert'], ['Mrs. Spencer'], ['Matthew Cuthbert'], ['Mrs. Spencer'], ['Mrs. Spencer']]]"
