Character ID,Main Name,Aliases,Gender,Category
0,Daisy Miller,"{'Miss Miller', 'Daisy Miller', 'Daisy', 'Annie P. Miller', 'Miss Daisy Miller', 'Miss Daisy', 'Annie Miller'}",F,major
1,Eugenio,{'Eugenio'},M,minor
2,Mr. Giovanelli,"{'Mr. Giovanelli', 'Giovanelli'}",M,minor
3,Mrs. Costello,{'Mrs. Costello'},F,intermediate
4,Mrs. Miller,{'Mrs. Miller'},F,intermediate
5,Mrs. Walker,{'Mrs. Walker'},F,intermediate
6,Randolph,"{'Randolph C. Miller', 'Randolph', 'Randolph Miller', 'The Child', 'Mr. Randolph'}",M,intermediate
7,The Servant,"{'The Servant', 'Servant'}",U,minor
8,Winterbourne,"{'Mr. Winterbourne', 'Winterbourne', 'Frederick'}",M,major
9,Winterbourne's Friend,"{'A Friend', ""Winterbourne's Friend""}",U,minor
