Character ID,Main Name,Aliases,Gender,Category
0,Emma,"{'Emma', 'Miss Woodhouse', 'Emma Woodhouse'}",F,major
1,Mr. Frank Churchill,"{'Frank Churchill', 'Mr. Churchill', 'Frank', 'Mr. Frank Churchill'}",M,major
2,Harriet Smith,"{'Miss Smith', 'Harriet Smith', 'Harriet'}",F,major
3,Isabella,"{'Mrs. John Knightley', 'Isabella Woodhouse', 'Isabella'}",F,intermediate
4,Jane Fairfax,"{'Miss Fairfax', 'Jane', 'Jane Fairfax'}",F,intermediate
5,Mr. John Knightley,"{'John Knightley', 'Mr. John Knightley', 'John'}",M,intermediate
6,Mr. Knightley,"{'George', 'Mr. Knightley', 'Knightley', 'George Knightley'}",M,major
7,Miss Bates,{'Miss Bates'},F,intermediate
8,Mr. Elton,"{'Mr. E.', 'Mr. Elton', 'Elton'}",M,intermediate
9,Mr. Weston,"{'Mr. Weston', 'Weston'}",M,intermediate
10,Mr. Woodhouse,"{'Mr. Woodhouse', 'Henry Woodhouse'}",M,intermediate
11,Mrs. Bates,{'Mrs. Bates'},F,minor
12,Mrs. Cole,{'Mrs. Cole'},F,minor
13,Mrs. Elton,"{'Augusta', 'Miss Hawkins', 'Mrs. Elton', 'Augusta Hawkins'}",F,intermediate
14,Mrs. Ford,{'Mrs. Ford'},F,minor
15,Mrs. Weston,"{'Anne', 'Mrs. Weston', 'Miss Taylor'}",F,intermediate
16,_group,['_group'],X,minor
17,_unknowable,['_unknowable'],X,minor
