"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","Poor Miss Taylor!--I wish she were here again. What a pity it is that
Mr. Weston ever thought of her!","['Poor Miss Taylor!--I wish she were here again. What a pity it is that\nMr. Weston ever thought of her!']","[[6317, 6418]]","Mr. Woodhouse","['Emma']","Anaphoric","he had said","[['Poor Miss Taylor', 'she', 'Mr. Weston', 'her']]","[[[6317, 6333], [6343, 6346], [6387, 6397], [6414, 6417]]]","[[['Mrs. Weston'], ['Mrs. Weston'], ['Mr. Weston'], ['Mrs. Weston']]]"
"Q1","I cannot agree with you, papa; you know I cannot. Mr. Weston is such
a good-humoured, pleasant, excellent man, that he thoroughly deserves
a good wife;--and you would not have had Miss Taylor live with us for
ever, and bear all my odd humours, when she might have a house of her
own?","['I cannot agree with you, papa; you know I cannot. Mr. Weston is such\na good-humoured, pleasant, excellent man, that he thoroughly deserves\na good wife;--and you would not have had Miss Taylor live with us for\never, and bear all my odd humours, when she might have a house of her\nown?']","[[6422, 6705]]","Emma","['Mr. Woodhouse']","Implicit","nan","[['papa', 'you', 'Mr. Weston', 'he', 'you', 'Miss Taylor', 'us', 'she', 'her']]","[[[6447, 6451], [6453, 6456], [6472, 6482], [6538, 6540], [6579, 6582], [6602, 6613], [6624, 6626], [6671, 6674], [6697, 6700]]]","[[['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Woodhouse'], ['Mrs. Weston'], ['Emma', 'Mr. Woodhouse'], ['Mrs. Weston'], ['Mrs. Weston']]]"
"Q2","A house of her own!--But where is the advantage of a house of her own?
This is three times as large.--And you have never any odd humours, my
dear.","['A house of her own!--But where is the advantage of a house of her own?\nThis is three times as large.--And you have never any odd humours, my\ndear.']","[[6709, 6855]]","Mr. Woodhouse","['Emma']","Implicit","nan","[['her', 'her', 'you', 'my\ndear']]","[[[6720, 6723], [6771, 6774], [6815, 6818], [6847, 6854]]]","[[['Mrs. Weston'], ['Mrs. Weston'], ['Emma'], ['Emma']]]"
"Q3","How often we shall be going to see them, and they coming to see us!--We
shall be always meeting! _We_ must begin; we must go and pay wedding
visit very soon.","['How often we shall be going to see them, and they coming to see us!--We\nshall be always meeting! _We_ must begin; we must go and pay wedding\nvisit very soon.']","[[6859, 7016]]","Emma","['Mr. Woodhouse']","Implicit","nan","[['we', 'them', 'they', 'us', 'We', 'We', 'we']]","[[[6869, 6871], [6894, 6898], [6904, 6908], [6923, 6925], [6928, 6930], [6957, 6959], [6973, 6975]]]","[[['Emma', 'Mr. Woodhouse'], ['Mr. Weston', 'Mrs. Weston'], ['Mr. Weston', 'Mrs. Weston'], ['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse']]]"
"Q4","My dear, how am I to get so far? Randalls is such a distance. I could
not walk half so far.","['My dear, how am I to get so far? Randalls is such a distance. I could\nnot walk half so far.']","[[7020, 7111]]","Mr. Woodhouse","['Emma']","Implicit","nan","[['My dear']]","[[[7020, 7027]]]","[[['Emma']]]"
"Q5","No, papa, nobody thought of your walking. We must go in the carriage,
to be sure.","['No, papa, nobody thought of your walking. We must go in the carriage,\nto be sure.']","[[7115, 7196]]","Emma","['Mr. Woodhouse']","Implicit","nan","[['papa', 'your', 'We']]","[[[7119, 7123], [7143, 7147], [7157, 7159]]]","[[['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse']]]"
"Q6","The carriage! But James will not like to put the horses to for such a
little way;--and where are the poor horses to be while we are paying our
visit?","['The carriage! But James will not like to put the horses to for such a\nlittle way;--and where are the poor horses to be while we are paying our\nvisit?']","[[7200, 7349]]","Mr. Woodhouse","['Emma']","Implicit","nan","[['we', 'our']]","[[[7325, 7327], [7339, 7342]]]","[[['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse']]]"
"Q7","They are to be put into Mr. Weston's stable, papa. You know we have
settled all that already. We talked it all over with Mr. Weston last
night. And as for James, you may be very sure he will always like going
to Randalls, because of his daughter's being housemaid there. I only
doubt whether he will ever take us anywhere else. That was your doing,
papa. You got Hannah that good place. Nobody thought of Hannah till you
mentioned her--James is so obliged to you!","[""They are to be put into Mr. Weston's stable, papa. You know we have\nsettled all that already. We talked it all over with Mr. Weston last\nnight. And as for James, you may be very sure he will always like going\nto Randalls, because of his daughter's being housemaid there. I only\ndoubt whether he will ever take us anywhere else. That was your doing,\npapa. You got Hannah that good place. Nobody thought of Hannah till you\nmentioned her--James is so obliged to you!""]","[[7353, 7816]]","Emma","['Mr. Woodhouse']","Implicit","nan","[['Mr. Weston', 'papa', 'You', 'we', 'We', 'Mr. Weston', 'you', 'us', 'your', 'papa', 'You', 'you', 'you']]","[[[7377, 7387], [7398, 7402], [7404, 7407], [7413, 7415], [7447, 7449], [7474, 7484], [7515, 7518], [7663, 7665], [7690, 7694], [7702, 7706], [7708, 7711], [7770, 7773], [7812, 7815]]]","[[['Mr. Weston'], ['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Emma'], ['Emma'], ['Mr. Weston'], ['Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Woodhouse']]]"
"Q8","I am very glad I did think of her. It was very lucky, for I would not
have had poor James think himself slighted upon any account; and I am
sure she will make a very good servant: she is a civil, pretty-spoken
girl; I have a great opinion of her. Whenever I see her, she always
curtseys and asks me how I do, in a very pretty manner; and when you
have had her here to do needlework, I observe she always turns the lock
of the door the right way and never bangs it. I am sure she will be an
excellent servant; and it will be a great comfort to poor Miss Taylor
to have somebody about her that she is used to see. Whenever James goes
over to see his daughter, you know, she will be hearing of us. He will
be able to tell her how we all are.","['I am very glad I did think of her. It was very lucky, for I would not\nhave had poor James think himself slighted upon any account; and I am\nsure she will make a very good servant: she is a civil, pretty-spoken\ngirl; I have a great opinion of her. Whenever I see her, she always\ncurtseys and asks me how I do, in a very pretty manner; and when you\nhave had her here to do needlework, I observe she always turns the lock\nof the door the right way and never bangs it. I am sure she will be an\nexcellent servant; and it will be a great comfort to poor Miss Taylor\nto have somebody about her that she is used to see. Whenever James goes\nover to see his daughter, you know, she will be hearing of us. He will\nbe able to tell her how we all are.']","[[7820, 8558]]","Mr. Woodhouse","['Emma']","Implicit","nan","[['poor Miss Taylor', 'her', 'she', 'you', 'she', 'us', 'her', 'we']]","[[[8363, 8379], [8403, 8406], [8412, 8415], [8478, 8481], [8488, 8491], [8511, 8513], [8539, 8542], [8547, 8549]]]","[[['Mrs. Weston'], ['Mrs. Weston'], ['Mrs. Weston'], ['Emma'], ['Mrs. Weston'], ['Emma', 'Mr. Woodhouse'], ['Mrs. Weston'], ['Emma', 'Mr. Woodhouse']]]"
"Q9","It is very kind of you, Mr. Knightley,
to come out at this late hour to call upon us. I am afraid you must have
had a shocking walk.","['It is very kind of you, Mr. Knightley,\nto come out at this late hour to call upon us. I am afraid you must have\nhad a shocking walk.']","[[9672, 9804]]","Mr. Woodhouse","['Emma', 'Mr. Knightley']","Explicit","Mr Woodhouse gratefully observed","[['you', 'Mr. Knightley', 'us', 'you']]","[[[9691, 9694], [9696, 9709], [9754, 9756], [9770, 9773]]]","[[['Mr. Knightley'], ['Mr. Knightley'], ['Emma', 'Mr. Woodhouse'], ['Mr. Knightley']]]"
