"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","I can tell you nothing, Aunt Juley. I know no more than you do. We
met--we only met the father and mother abroad last spring. I know so
little that I didn t even know their son s name. It s all so--","['I can tell you nothing, Aunt Juley. I know no more than you do. We\nmet--we only met the father and mother abroad last spring. I know so\nlittle that I didn t even know their son s name. It s all so--']","[[6426, 6624]]","Margaret","['Aunt Juley']","Implicit","nan","[['you', 'Aunt Juley', 'you', 'We', 'we', 'the father and mother', 'mother', 'their son']]","[[[6437, 6440], [6450, 6460], [6482, 6485], [6490, 6492], [6498, 6500], [6510, 6531], [6525, 6531], [6593, 6602]]]","[[['Aunt Juley'], ['Aunt Juley'], ['Aunt Juley'], ['Margaret', 'Helen'], ['Margaret', 'Helen'], ['Mr. Wilcox'], ['Ruth'], ['Paul']]]"
"Q1","In that case it is far too sudden.","['In that case it is far too sudden.']","[[6669, 6703]]","Aunt Juley","['Margaret']","Implicit","nan","[[]]","[[]]","[[]]"
"Q2","Who knows, Aunt Juley, who knows?","['Who knows, Aunt Juley, who knows?']","[[6707, 6740]]","Margaret","['Aunt Juley']","Implicit","nan","[['Aunt Juley']]","[[[6718, 6728]]]","[[['Aunt Juley']]]"
"Q3","But, Margaret, dear, I mean, we mustn t be unpractical now that we ve
come to facts. It is too sudden, surely.","['But, Margaret, dear, I mean, we mustn t be unpractical now that we ve\ncome to facts. It is too sudden, surely.']","[[6744, 6854]]","Aunt Juley","['Margaret']","Implicit","nan","[['Margaret', 'dear', 'we', 'we']]","[[[6749, 6757], [6759, 6763], [6773, 6775], [6808, 6810]]]","[[['Margaret'], ['Margaret'], ['Aunt Juley', 'Margaret'], ['Aunt Juley', 'Margaret']]]"
"Q4","Who knows!","['Who knows!']","[[6858, 6868]]","Margaret","['Aunt Juley']","Implicit","nan","[[]]","[[]]","[[]]"
"Q5","But, Margaret, dear--","['But, Margaret, dear--']","[[6872, 6893]]","Aunt Juley","['Margaret']","Implicit","nan","[['Margaret', 'dear']]","[[[6877, 6885], [6887, 6891]]]","[[['Margaret'], ['Margaret']]]"
"Q6","I ll go for her other letters, No, I won t, I ll
finish my breakfast. In fact, I haven t them. We met the Wilcoxes on an
awful expedition that we made from Heidelberg to Speyer. Helen and I
had got it into our heads that there was a grand old cathedral at
Speyer--the Archbishop of Speyer was one of the seven electors--you
know-- Speyer, Maintz, and Koln.  Those three sees once commanded the
Rhine Valley and got it the name of Priest Street.","['I ll go for her other letters,', 'No, I won t, I ll\nfinish my breakfast. In fact, I haven t them. We met the Wilcoxes on an\nawful expedition that we made from Heidelberg to Speyer. Helen and I\nhad got it into our heads that there was a grand old cathedral at\nSpeyer--the Archbishop of Speyer was one of the seven electors--you\nknow-- Speyer, Maintz, and Koln.  Those three sees once commanded the\nRhine Valley and got it the name of Priest Street.']","[[6897, 6927], [6945, 7358]]","Margaret","['Aunt Juley']","Explicit","said Margaret","[['her'], ['We', 'Wilcoxes', 'we', 'Helen']]","[[[6909, 6912]], [[7009, 7011], [7020, 7028], [7057, 7059], [7092, 7097]]]","[[['Helen']], [['Margaret', 'Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Margaret', 'Helen'], ['Helen']]]"
"Q7","I still feel quite uneasy about this business, Margaret.","['I still feel quite uneasy about this business, Margaret.']","[[7362, 7418]]","Aunt Juley","['Margaret']","Implicit","nan","[['Margaret']]","[[[7409, 7417]]]","[[['Margaret']]]"
"Q8","The train crossed by a bridge of boats, and at first sight it looked
quite fine. But oh, in five minutes we had seen the whole thing. The
cathedral had been ruined, absolutely ruined, by restoration; not an
inch left of the original structure. We wasted a whole day, and came
across the Wilcoxes as we were eating our sandwiches in the public
gardens. They too, poor things, had been taken in--they were actually
stopping at Speyer--and they rather liked Helen s insisting that they
must fly with us to Heidelberg. As a matter of fact, they did come on
next day. We all took some drives together. They knew us well enough to
ask Helen to come and see them--at least, I was asked too, but Tibby s
illness prevented me, so last Monday she went alone. That s all. You
know as much as I do now. It s a young man out of the unknown. She was
to have come back Saturday, but put off till Monday, perhaps on account
of--I don t know.","['The train crossed by a bridge of boats, and at first sight it looked\nquite fine. But oh, in five minutes we had seen the whole thing. The\ncathedral had been ruined, absolutely ruined, by restoration; not an\ninch left of the original structure. We wasted a whole day, and came\nacross the Wilcoxes as we were eating our sandwiches in the public\ngardens. They too, poor things, had been taken in--they were actually\nstopping at Speyer--and they rather liked Helen s insisting that they\nmust fly with us to Heidelberg. As a matter of fact, they did come on\nnext day. We all took some drives together. They knew us well enough to\nask Helen to come and see them--at least, I was asked too, but Tibby s\nillness prevented me, so last Monday she went alone. That s all. You\nknow as much as I do now. It s a young man out of the unknown. She was\nto have come back Saturday, but put off till Monday, perhaps on account\nof--I don t know.']","[[7422, 8347]]","Margaret","['Aunt Juley']","Implicit","nan","[['we', 'We', 'Wilcoxes', 'we', 'They', 'poor things', 'they', 'they', 'Helen', 'us', 'they', 'We', 'They', 'us', 'Helen', 'them', 'Tibby', 'she', 'You', 'a young man', 'She']]","[[[7527, 7529], [7666, 7668], [7709, 7717], [7721, 7723], [7774, 7778], [7784, 7795], [7816, 7820], [7859, 7863], [7877, 7882], [7919, 7921], [7958, 7962], [7985, 7987], [8019, 8023], [8029, 8031], [8051, 8056], [8073, 8077], [8110, 8115], [8155, 8158], [8183, 8186], [8218, 8229], [8250, 8253]]]","[[['Margaret', 'Helen'], ['Margaret', 'Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Margaret', 'Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Henry', 'Ruth'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Helen'], ['Margaret', 'Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Margaret', 'Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Margaret', 'Helen'], ['Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Tibby'], ['Helen'], ['Aunt Juley'], ['Paul'], ['Helen']]]"
"Q9","The Germans, are too
thorough, and this is all very well sometimes, but at other times it
does not do.","['The Germans,', 'are too\nthorough, and this is all very well sometimes, but at other times it\ndoes not do.']","[[9491, 9503], [9516, 9605]]","Aunt Juley","['Margaret']","Anaphoric","she said","[[], []]","[[], []]","[[], []]"
"Q10","Exactly, Germans are too thorough.","['Exactly,', 'Germans are too thorough.']","[[9609, 9617], [9635, 9660]]","Margaret","['Aunt Juley']","Explicit","said Margaret","[[], []]","[[], []]","[[], []]"
"Q11","Of course I regard you Schlegels as English, English to the backbone.","['Of course I regard you Schlegels as English,', 'English to the backbone.']","[[9693, 9737], [9764, 9788]]","Aunt Juley","['Margaret']","Explicit","said Mrs Munt","[['you Schlegels'], []]","[[[9712, 9725]], []]","[[['Margaret', 'Helen']], []]"
"Q12","And that reminds me--Helen s letter.","['And that reminds me--Helen s letter.']","[[9839, 9875]]","Aunt Juley","['Margaret']","Implicit","nan","[['Helen']]","[[[9860, 9865]]]","[[['Helen']]]"
"Q13","Oh yes, Aunt Juley, I am thinking all right about Helen s letter. I
know--I must go down and see her. I am thinking about her all right. I
am meaning to go down.","['Oh yes, Aunt Juley, I am thinking all right about Helen s letter. I\nknow--I must go down and see her. I am thinking about her all right. I\nam meaning to go down.']","[[9879, 10040]]","Margaret","['Aunt Juley']","Implicit","nan","[['Aunt Juley', 'Helen', 'her', 'her']]","[[[9887, 9897], [9929, 9934], [9976, 9979], [10001, 10004]]]","[[['Aunt Juley'], ['Helen'], ['Helen'], ['Helen']]]"
"Q14","But go with some plan, Margaret, if I may interfere, don t be taken by
surprise. What do you think of the Wilcoxes? Are they our sort? Are they
likely people? Could they appreciate Helen, who is to my mind a very
special sort of person? Do they care about Literature and Art? That is
most important when you come to think of it. Literature and Art. Most
important. How old would the son be? She says  younger son.  Would he
be in a position to marry? Is he likely to make Helen happy? Did you
gather--","['But go with some plan,', 'Margaret, if I may interfere, don t be taken by\nsurprise. What do you think of the Wilcoxes? Are they our sort? Are they\nlikely people? Could they appreciate Helen, who is to my mind a very\nspecial sort of person? Do they care about Literature and Art? That is\nmost important when you come to think of it. Literature and Art. Most\nimportant. How old would the son be? She says  younger son.  Would he\nbe in a position to marry? Is he likely to make Helen happy? Did you\ngather--']","[[10044, 10066], [10141, 10619]]","Aunt Juley","['Margaret']","Explicit","said Mrs Munt","[[], ['Margaret', 'you', 'Wilcoxes', 'they', 'they', 'they', 'Helen', 'they', 'you', 'the son', 'She', 'he', 'he', 'Helen', 'you']]","[[], [[10141, 10149], [10207, 10210], [10224, 10232], [10238, 10242], [10257, 10261], [10283, 10287], [10299, 10304], [10358, 10362], [10422, 10425], [10497, 10504], [10509, 10512], [10539, 10541], [10572, 10574], [10590, 10595], [10607, 10610]]]","[[], [['Margaret'], ['Margaret'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Margaret'], ['Paul'], ['Helen'], ['Paul'], ['Paul'], ['Helen'], ['Margaret']]]"
"Q15","I gathered nothing.","['I gathered nothing.']","[[10623, 10642]]","Margaret","['Aunt Juley']","Implicit","nan","[[]]","[[]]","[[]]"
"Q16","Then in that case--","['Then in that case--']","[[10675, 10694]]","Aunt Juley","['Margaret']","Implicit","nan","[[]]","[[]]","[[]]"
"Q17","In that case I can make no plans, don t you see.","['In that case I can make no plans, don t you see.']","[[10698, 10746]]","Margaret","['Aunt Juley']","Implicit","nan","[['you']]","[[[10738, 10741]]]","[[['Aunt Juley']]]"
"Q18","On the contrary--","['On the contrary--']","[[10750, 10767]]","Aunt Juley","['Margaret']","Implicit","nan","[[]]","[[]]","[[]]"
"Q19","I hate plans. I hate lines of action. Helen isn t a baby.","['I hate plans. I hate lines of action. Helen isn t a baby.']","[[10771, 10828]]","Margaret","['Aunt Juley']","Implicit","nan","[['Helen']]","[[[10809, 10814]]]","[[['Helen']]]"
"Q20","Then in that case, my dear, why go down?","['Then in that case, my dear, why go down?']","[[10832, 10872]]","Aunt Juley","['Margaret']","Implicit","nan","[[]]","[[]]","[[]]"
"Q21","I consider you odd girls, and very wonderful
girls, and in many ways far older than your years. But--you won t be
offended? frankly, I feel you are not up to this business. It requires
an older person. Dear, I have nothing to call me back to Swanage. I am all at your disposal. Let me go down to
this house whose name I forget instead of you.","['I consider you odd girls,', 'and very wonderful\ngirls, and in many ways far older than your years. But--you won t be\noffended? frankly, I feel you are not up to this business. It requires\nan older person. Dear, I have nothing to call me back to Swanage.', 'I am all at your disposal. Let me go down to\nthis house whose name I forget instead of you.']","[[11344, 11369], [11393, 11617], [11651, 11742]]","Aunt Juley","['Margaret']","Explicit","continued Mrs Munt","[['you'], ['you', 'you', 'Dear'], ['your', 'you']]","[[[11355, 11358]], [[11468, 11471], [11507, 11510], [11569, 11573]], [[11663, 11667], [11738, 11741]]]","[[['Margaret', 'Helen']], [['Margaret'], ['Margaret'], ['Margaret']], [['Margaret'], ['Margaret']]]"
"Q22","Aunt Juley","['Aunt Juley']","[[11746, 11756]]","Margaret","['Aunt Juley']","Implicit","nan","[['Aunt Juley']]","[[[11746, 11756]]]","[[['Aunt Juley']]]"
"Q23","I must, must go to Howards
End myself. You don t exactly understand, though I can never thank you
properly for offering.","['I must, must go to Howards\nEnd myself. You don t exactly understand, though I can never thank you\nproperly for offering.']","[[11790, 11910]]","Margaret","['Aunt Juley']","Implicit","nan","[['You', 'you']]","[[[11829, 11832], [11884, 11887]]]","[[['Aunt Juley'], ['Aunt Juley']]]"
"Q24","I do understand, I go
down in no spirit of interference, but to make inquiries. Inquiries are
necessary. Now, I am going to be rude. You would say the wrong thing; to
a certainty you would. In your anxiety for Helen s happiness you would
offend the whole of these Wilcoxes by asking one of your impetuous
questions--not that one minds offending them.","['I do understand,', 'I go\ndown in no spirit of interference, but to make inquiries. Inquiries are\nnecessary. Now, I am going to be rude. You would say the wrong thing; to\na certainty you would. In your anxiety for Helen s happiness you would\noffend the whole of these Wilcoxes by asking one of your impetuous\nquestions--not that one minds offending them.']","[[11914, 11930], [11978, 12311]]","Aunt Juley","['Margaret']","Explicit","retorted Mrs Munt","[[], ['You', 'you', 'your', 'Helen', 'you', 'Wilcoxes', 'your', 'them']]","[[], [[12094, 12097], [12140, 12143], [12154, 12158], [12171, 12176], [12189, 12192], [12225, 12233], [12251, 12255], [12306, 12310]]]","[[], [['Margaret'], ['Margaret'], ['Margaret'], ['Helen'], ['Margaret'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Margaret'], ['Mrs. Wilcox', 'Mr. Wilcox']]]"
"Q25","I shall ask no questions. I have it in Helen s writing that she and
a man are in love. There is no question to ask as long as she keeps to
that. All the rest isn t worth a straw. A long engagement if you like,
but inquiries, questions, plans, lines of action--no, Aunt Juley, no.","['I shall ask no questions. I have it in Helen s writing that she and\na man are in love. There is no question to ask as long as she keeps to\nthat. All the rest isn t worth a straw. A long engagement if you like,\nbut inquiries, questions, plans, lines of action--no, Aunt Juley, no.']","[[12315, 12594]]","Margaret","['Aunt Juley']","Implicit","nan","[['Helen', 'she', 'she', 'you', 'Aunt Juley']]","[[[12354, 12359], [12375, 12378], [12441, 12444], [12515, 12518], [12579, 12589]]]","[[['Helen'], ['Helen'], ['Helen'], ['Aunt Juley'], ['Aunt Juley']]]"
"Q26","If Helen had written the same to me about a shop assistant or a
penniless clerk--","['If Helen had written the same to me about a shop assistant or a\npenniless clerk--']","[[12858, 12939]]","Margaret","['Aunt Juley']","Implicit","nan","[['Helen']]","[[[12861, 12866]]]","[[['Helen']]]"
"Q27","Dear Margaret, do come into the library and shut the door. Your good
maids are dusting the banisters.","['Dear Margaret, do come into the library and shut the door. Your good\nmaids are dusting the banisters.']","[[12943, 13044]]","Aunt Juley","['Margaret']","Implicit","nan","[['Dear Margaret', 'Your']]","[[[12943, 12956], [13002, 13006]]]","[[['Margaret'], ['Margaret']]]"
"Q28","--or if she had wanted to marry the man who calls for Carter Paterson,
I should have said the same. Though
in the case of Carter Paterson I should want it to be a very long
engagement indeed, I must say.","['--or if she had wanted to marry the man who calls for Carter Paterson,\nI should have said the same.', 'Though\nin the case of Carter Paterson I should want it to be a very long\nengagement indeed, I must say.']","[[13048, 13147], [13320, 13423]]","Margaret","['Aunt Juley']","Anaphoric","she added","[['she'], []]","[[[13056, 13059]], []]","[[['Helen']], []]"
