quoteID,quoteText,subQuotationList,quoteByteSpans,speaker,addressees,quoteType,referringExpression,mentionTextsList,mentionSpansList,mentionEntitiesList
Q0,"I think we
cannot do better, let us send for the child.","['I think we\ncannot do better,', 'let us send for the child.']","[[5678, 5706], [5719, 5745]]",Lady Bertram,"['Sir Thomas', 'Mrs. Norris']",Anaphoric,said she,"[['we'], ['us', 'the child']]","[[[5686, 5688]], [[5723, 5725], [5735, 5744]]]","[[['Lady Bertram', 'Sir Thomas']], [['Lady Bertram', 'Sir Thomas'], ['Fanny Price']]]"
Q1,"My dear Sir Thomas, I perfectly comprehend you, and do justice to the
generosity and delicacy of your notions, which indeed are quite of a
piece with your general conduct; and I entirely agree with you in the
main as to the propriety of doing everything one could by way of
providing for a child one had in a manner taken into one's own hands;
and I am sure I should be the last person in the world to withhold my
mite upon such an occasion. Having no children of my own, who should I
look to in any little matter I may ever have to bestow, but the
children of my sisters?   and I am sure Mr. Norris is too just   but you
know I am a woman of few words and professions. Do not let us be
frightened from a good deed by a trifle. Give a girl an education, and
introduce her properly into the world, and ten to one but she has the
means of settling well, without farther expense to anybody. A niece of
ours, Sir Thomas, I may say, or at least of _yours_, would not grow up
in this neighbourhood without many advantages. I don't say she would be
so handsome as her cousins. I dare say she would not; but she would be
introduced into the society of this country under such very favourable
circumstances as, in all human probability, would get her a creditable
establishment. You are thinking of your sons   but do not you know that,
of all things upon earth, _that_ is the least likely to happen, brought
up as they would be, always together like brothers and sisters? It is
morally impossible. I never knew an instance of it. It is, in fact, the
only sure way of providing against the connexion. Suppose her a pretty
girl, and seen by Tom or Edmund for the first time seven years hence,
and I dare say there would be mischief. The very idea of her having
been suffered to grow up at a distance from us all in poverty and
neglect, would be enough to make either of the dear, sweet-tempered
boys in love with her. But breed her up with them from this time, and
suppose her even to have the beauty of an angel, and she will never be
more to either than a sister.","[""My dear Sir Thomas, I perfectly comprehend you, and do justice to the\ngenerosity and delicacy of your notions, which indeed are quite of a\npiece with your general conduct; and I entirely agree with you in the\nmain as to the propriety of doing everything one could by way of\nproviding for a child one had in a manner taken into one's own hands;\nand I am sure I should be the last person in the world to withhold my\nmite upon such an occasion. Having no children of my own, who should I\nlook to in any little matter I may ever have to bestow, but the\nchildren of my sisters?   and I am sure Mr. Norris is too just   but you\nknow I am a woman of few words and professions. Do not let us be\nfrightened from a good deed by a trifle. Give a girl an education, and\nintroduce her properly into the world, and ten to one but she has the\nmeans of settling well, without farther expense to anybody. A niece of\nours, Sir Thomas, I may say, or at least of _yours_, would not grow up\nin this neighbourhood without many advantages. I don't say she would be\nso handsome as her cousins. I dare say she would not; but she would be\nintroduced into the society of this country under such very favourable\ncircumstances as, in all human probability, would get her a creditable\nestablishment. You are thinking of your sons   but do not you know that,\nof all things upon earth, _that_ is the least likely to happen, brought\nup as they would be, always together like brothers and sisters? It is\nmorally impossible. I never knew an instance of it. It is, in fact, the\nonly sure way of providing against the connexion. Suppose her a pretty\ngirl, and seen by Tom or Edmund for the first time seven years hence,\nand I dare say there would be mischief. The very idea of her having\nbeen suffered to grow up at a distance from us all in poverty and\nneglect, would be enough to make either of the dear, sweet-tempered\nboys in love with her. But breed her up with them from this time, and\nsuppose her even to have the beauty of an angel, and she will never be\nmore to either than a sister.""]","[[6235, 8290]]",Mrs. Norris,"['Lady Bertram', 'Sir Thomas']",Explicit,Mrs Norris interrupted him with a reply,"[['My dear Sir Thomas', 'you', 'your', 'your', 'you', 'my sisters', 'you', 'us', 'Sir Thomas', 'yours', 'she', 'her cousins', 'she', 'she', 'her', 'You', 'your sons', 'you', 'they', 'her', 'Tom', 'Edmund', 'her', 'us', 'the dear, sweet-tempered\nboys', 'her', 'her', 'them', 'her', 'she']]","[[[6235, 6253], [6278, 6281], [6332, 6336], [6385, 6389], [6433, 6436], [6796, 6806], [6853, 6856], [6916, 6918], [7140, 7150], [7179, 7184], [7264, 7267], [7292, 7303], [7316, 7319], [7335, 7338], [7473, 7476], [7505, 7508], [7525, 7534], [7548, 7551], [7641, 7645], [7835, 7838], [7866, 7869], [7873, 7879], [7975, 7978], [8030, 8032], [8095, 8124], [8138, 8141], [8153, 8156], [8165, 8169], [8198, 8201], [8243, 8246]]]","[[['Sir Thomas'], ['Sir Thomas'], ['Sir Thomas'], ['Sir Thomas'], ['Sir Thomas'], ['Mrs. Price', 'Lady Bertram'], ['Sir Thomas'], ['Lady Bertram', 'Sir Thomas', 'Mrs. Norris'], ['Sir Thomas'], ['Sir Thomas'], ['Fanny Price'], ['Maria Bertram', 'Julia Bertram'], ['Fanny Price'], ['Fanny Price'], ['Fanny Price'], ['Sir Thomas'], ['Tom Bertram', 'Edmund'], ['Sir Thomas'], ['Fanny Price', 'Edmund', 'Tom Bertram'], ['Fanny Price'], ['Tom Bertram'], ['Edmund'], ['Fanny Price'], ['Lady Bertram', 'Sir Thomas', 'Julia Bertram', 'Maria Bertram', 'Edmund', 'Tom Bertram', 'Mrs. Norris'], ['Tom Bertram', 'Edmund'], ['Fanny Price'], ['Fanny Price'], ['Tom Bertram', 'Edmund'], ['Fanny Price'], ['Fanny Price']]]"
Q2,"There is a great deal of truth in what you say, and far be it from me to throw any fanciful impediment in the way of a
plan which would be so consistent with the relative situations of each.
I only meant to observe that it ought not to be lightly engaged in, and
that to make it really serviceable to Mrs. Price, and creditable to
ourselves, we must secure to the child, or consider ourselves engaged
to secure to her hereafter, as circumstances may arise, the provision
of a gentlewoman, if no such establishment should offer as you are so
sanguine in expecting.","['There is a great deal of truth in what you say,', 'and far be it from me to throw any fanciful impediment in the way of a\nplan which would be so consistent with the relative situations of each.\nI only meant to observe that it ought not to be lightly engaged in, and\nthat to make it really serviceable to Mrs. Price, and creditable to\nourselves, we must secure to the child, or consider ourselves engaged\nto secure to her hereafter, as circumstances may arise, the provision\nof a gentlewoman, if no such establishment should offer as you are so\nsanguine in expecting.']","[[8294, 8341], [8364, 8879]]",Sir Thomas,"['Lady Bertram', 'Mrs. Norris']",Explicit,replied Sir Thomas,"[['you'], ['each', 'Mrs. Price', 'ourselves', 'we', 'the child', 'her', 'you']]","[[[8333, 8336]], [[8501, 8505], [8617, 8627], [8647, 8656], [8658, 8660], [8676, 8685], [8730, 8733], [8846, 8849]]]","[[['Mrs. Norris']], [['Tom Bertram', 'Edmund'], ['Mrs. Price'], ['Lady Bertram', 'Sir Thomas', 'Mrs. Norris'], ['Lady Bertram', 'Sir Thomas', 'Mrs. Norris'], ['Fanny Price'], ['Fanny Price'], ['Mrs. Norris']]]"
Q3,"I thoroughly understand you, you are everything
that is generous and considerate, and I am sure we shall never disagree
on this point. Whatever I can do, as you well know, I am always ready
enough to do for the good of those I love; and, though I could never
feel for this little girl the hundredth part of the regard I bear your
own dear children, nor consider her, in any respect, so much my own, I
should hate myself if I were capable of neglecting her. Is not she a
sister's child? and could I bear to see her want while I had a bit of
bread to give her? My dear Sir Thomas, with all my faults I have a warm
heart; and, poor as I am, would rather deny myself the necessaries of
life than do an ungenerous thing. So, if you are not against it, I will
write to my poor sister tomorrow, and make the proposal; and, as soon
as matters are settled, _I_ will engage to get the child to Mansfield;
_you_ shall have no trouble about it. My own trouble, you know, I never
regard. I will send Nanny to London on purpose, and she may have a bed
at her cousin the saddler's, and the child be appointed to meet her
there. They may easily get her from Portsmouth to town by the coach,
under the care of any creditable person that may chance to be going. I
dare say there is always some reputable tradesman's wife or other going
up.","['I thoroughly understand you,', ""you are everything\nthat is generous and considerate, and I am sure we shall never disagree\non this point. Whatever I can do, as you well know, I am always ready\nenough to do for the good of those I love; and, though I could never\nfeel for this little girl the hundredth part of the regard I bear your\nown dear children, nor consider her, in any respect, so much my own, I\nshould hate myself if I were capable of neglecting her. Is not she a\nsister's child? and could I bear to see her want while I had a bit of\nbread to give her? My dear Sir Thomas, with all my faults I have a warm\nheart; and, poor as I am, would rather deny myself the necessaries of\nlife than do an ungenerous thing. So, if you are not against it, I will\nwrite to my poor sister tomorrow, and make the proposal; and, as soon\nas matters are settled, _I_ will engage to get the child to Mansfield;\n_you_ shall have no trouble about it. My own trouble, you know, I never\nregard. I will send Nanny to London on purpose, and she may have a bed\nat her cousin the saddler's, and the child be appointed to meet her\nthere. They may easily get her from Portsmouth to town by the coach,\nunder the care of any creditable person that may chance to be going. I\ndare say there is always some reputable tradesman's wife or other going\nup.""]","[[8883, 8911], [8933, 10225]]",Mrs. Norris,"['Lady Bertram', 'Sir Thomas']",Explicit,cried Mrs Norris,"[[], ['we', 'this little girl', 'her', 'her', 'she', 'her', 'her', 'My dear Sir Thomas', 'you', 'my poor sister', 'the child', 'you', 'you', 'she', 'her', 'the child', 'her', 'They', 'her']]","[[], [[9000, 9002], [9172, 9188], [9266, 9269], [9356, 9359], [9368, 9371], [9414, 9417], [9458, 9461], [9463, 9481], [9627, 9630], [9667, 9681], [9775, 9784], [9800, 9803], [9853, 9856], [9923, 9926], [9945, 9948], [9975, 9984], [10006, 10009], [10017, 10021], [10037, 10040]]]","[[], [['Sir Thomas', 'Mrs. Norris'], ['Fanny Price'], ['Fanny Price'], ['Fanny Price'], ['Fanny Price'], ['Fanny Price'], ['Fanny Price'], ['Sir Thomas'], ['Sir Thomas'], ['Mrs. Price'], ['Fanny Price'], ['Sir Thomas'], ['Sir Thomas'], ['Fanny Price'], ['Fanny Price'], ['Fanny Price'], ['Fanny Price'], ['Fanny Price'], ['Fanny Price']]]"
Q4,"Where shall
the child come to first, sister, to you or to us?","['Where shall\nthe child come to first, sister, to you or to us?']","[[12147, 12208]]",Lady Bertram,"['Sir Thomas', 'Mrs. Norris']",Explicit,Lady Bertrams calm inquiry,"[['the child', 'sister', 'you', 'us']]","[[[12159, 12168], [12184, 12190], [12195, 12198], [12205, 12207]]]","[[['Fanny Price'], ['Mrs. Norris'], ['Mrs. Norris'], ['Lady Bertram', 'Sir Thomas']]]"
Q5,"Then she had better come to us,","['Then she had better come to us,']","[[13111, 13142]]",Lady Bertram,"['Sir Thomas', 'Mrs. Norris']",Explicit,said Lady Bertram,"[['she', 'us']]","[[[13116, 13119], [13139, 13141]]]","[[['Fanny Price'], ['Lady Bertram', 'Sir Thomas']]]"
Q6,"Yes, let
her home be in this house. We will endeavour to do our duty by her, and
she will, at least, have the advantage of companions of her own age,
and of a regular instructress.","['Yes, let\nher home be in this house. We will endeavour to do our duty by her, and\nshe will, at least, have the advantage of companions of her own age,\nand of a regular instructress.']","[[13242, 13422]]",Sir Thomas,"['Lady Bertram', 'Mrs. Norris']",Explicit,Sir Thomas added,"[['her', 'We', 'her', 'she', 'her']]","[[[13251, 13254], [13278, 13280], [13314, 13317], [13323, 13326], [13379, 13382]]]","[[['Fanny Price'], ['Lady Bertram', 'Sir Thomas'], ['Fanny Price'], ['Fanny Price'], ['Fanny Price']]]"
Q7,"Very true, which are both very important
considerations; and it will be just the same to Miss Lee whether she
has three girls to teach, or only two   there can be no difference. I
only wish I could be more useful; but you see I do all in my power. I
am not one of those that spare their own trouble; and Nanny shall fetch
her, however it may put me to inconvenience to have my chief counsellor
away for three days. I suppose, sister, you will put the child in the
little white attic, near the old nurseries. It will be much the best
place for her, so near Miss Lee, and not far from the girls, and close
by the housemaids, who could either of them help to dress her, you
know, and take care of her clothes, for I suppose you would not think
it fair to expect Ellis to wait on her as well as the others. Indeed, I
do not see that you could possibly place her anywhere else.","['Very true,', 'which are both very important\nconsiderations; and it will be just the same to Miss Lee whether she\nhas three girls to teach, or only two   there can be no difference. I\nonly wish I could be more useful; but you see I do all in my power. I\nam not one of those that spare their own trouble; and Nanny shall fetch\nher, however it may put me to inconvenience to have my chief counsellor\naway for three days. I suppose, sister, you will put the child in the\nlittle white attic, near the old nurseries. It will be much the best\nplace for her, so near Miss Lee, and not far from the girls, and close\nby the housemaids, who could either of them help to dress her, you\nknow, and take care of her clothes, for I suppose you would not think\nit fair to expect Ellis to wait on her as well as the others. Indeed, I\ndo not see that you could possibly place her anywhere else.']","[[13426, 13436], [13458, 14319]]",Mrs. Norris,"['Lady Bertram', 'Sir Thomas']",Explicit,cried Mrs Norris,"[[], ['you', 'her', 'sister', 'you', 'the child', 'her', 'the girls', 'her', 'you', 'her', 'you', 'her', 'you', 'her']]","[[], [[13665, 13668], [13769, 13772], [13873, 13879], [13881, 13884], [13894, 13903], [13990, 13993], [14030, 14039], [14109, 14112], [14114, 14117], [14141, 14144], [14168, 14171], [14223, 14226], [14276, 14279], [14301, 14304]]]","[[], [['Lady Bertram'], ['Fanny Price'], ['Lady Bertram'], ['Lady Bertram'], ['Fanny Price'], ['Fanny Price'], ['Maria Bertram', 'Julia Bertram'], ['Fanny Price'], ['Lady Bertram'], ['Fanny Price'], ['Lady Bertram'], ['Fanny Price'], ['Lady Bertram'], ['Fanny Price']]]"
Q8,"I hope she will prove a well-disposed girl, and be sensible of her uncommon good fortune in having such friends.","['I hope she will prove a well-disposed girl,', 'and be sensible of her uncommon good fortune in having such friends.']","[[14357, 14400], [14426, 14494]]",Mrs. Norris,"['Lady Bertram', 'Sir Thomas']",Explicit,continued Mrs Norris,"[['she'], ['her']]","[[[14364, 14367]], [[14445, 14448]]]","[[['Fanny Price']], [['Fanny Price']]]"
Q9,"Should her disposition be really bad, we must not,
for our own children's sake, continue her in the family; but there is
no reason to expect so great an evil. We shall probably see much to
wish altered in her, and must prepare ourselves for gross ignorance,
some meanness of opinions, and very distressing vulgarity of manner;
but these are not incurable faults; nor, I trust, can they be dangerous
for her associates. Had my daughters been _younger_ than herself, I
should have considered the introduction of such a companion as a matter
of very serious moment; but, as it is, I hope there can be nothing to
fear for _them_, and everything to hope for _her_, from the
association.","['Should her disposition be really bad,', ""we must not,\nfor our own children's sake, continue her in the family; but there is\nno reason to expect so great an evil. We shall probably see much to\nwish altered in her, and must prepare ourselves for gross ignorance,\nsome meanness of opinions, and very distressing vulgarity of manner;\nbut these are not incurable faults; nor, I trust, can they be dangerous\nfor her associates. Had my daughters been _younger_ than herself, I\nshould have considered the introduction of such a companion as a matter\nof very serious moment; but, as it is, I hope there can be nothing to\nfear for _them_, and everything to hope for _her_, from the\nassociation.""]","[[14498, 14535], [14555, 15198]]",Sir Thomas,"['Lady Bertram', 'Mrs. Norris']",Explicit,said Sir Thomas,"[['her'], ['we', 'our own children', 'her', 'family', 'We', 'her', 'her', 'my daughters', 'herself', 'them', 'her']]","[[[14505, 14508]], [[14555, 14557], [14572, 14588], [14606, 14609], [14617, 14623], [14676, 14678], [14722, 14725], [14920, 14923], [14940, 14952], [14973, 14980], [15136, 15140], [15171, 15174]]]","[[['Fanny Price']], [['Lady Bertram', 'Sir Thomas'], ['Tom Bertram', 'Maria Bertram', 'Julia Bertram', 'Edmund'], ['Fanny Price'], ['Tom Bertram', 'Julia Bertram', 'Maria Bertram', 'Edmund', 'Sir Thomas', 'Lady Bertram'], ['Lady Bertram', 'Sir Thomas'], ['Fanny Price'], ['Fanny Price'], ['Maria Bertram', 'Julia Bertram'], ['Fanny Price'], ['Maria Bertram', 'Julia Bertram'], ['Fanny Price']]]"
