"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","Now, do you think we re enjoying ourselves
enormously?","['Now, do you think we re enjoying ourselves\nenormously?']","[[1732, 1786]]","Katharine Hilbery","[]","Explicit","Katharine as she shook hands with him asked him","[['you', 'we']]","[[[1740, 1743], [1750, 1752]]]","[[['Ralph Denham'], ['Katharine Hilbery', 'Mrs. Hilbery', 'Mr. Fortescue', 'Mr. Hilbery', 'A Thin, Elderly Gentleman']]]"
"Q1","Mr. Denham, mother,","['Mr. Denham, mother,']","[[1792, 1811]]","Katharine Hilbery","['Mr. Hilbery', 'A Thin, Elderly Gentleman', 'Ralph Denham', 'Mrs. Hilbery', 'Mr. Fortescue']","Anaphoric","she said","[['Mr. Denham', 'Denham', 'mother']]","[[[1792, 1802], [1796, 1802], [1804, 1810]]]","[[['Ralph Denham'], ['Ralph Denham'], ['Mrs. Hilbery']]]"
"Q2","Now, what would you do if you were married to an engineer, and had to
live in Manchester, Mr. Denham?","['Now, what would you do if you were married to an engineer, and had to\nlive in Manchester, Mr. Denham?']","[[3091, 3192]]","Mrs. Hilbery","['Mr. Hilbery', 'A Thin, Elderly Gentleman', 'Ralph Denham', 'Katharine Hilbery', 'Mr. Fortescue']","Explicit","Mrs Hilbery deftly joined the severed parts by leaning towards him and remarking","[['you', 'you', 'Mr. Denham']]","[[[3107, 3110], [3117, 3120], [3181, 3191]]]","[[['Ralph Denham'], ['Ralph Denham'], ['Ralph Denham']]]"
"Q3","Surely she could learn Persian, Is there no retired schoolmaster or man of letters in Manchester with
whom she could read Persian?","['Surely she could learn Persian,', 'Is there no retired schoolmaster or man of letters in Manchester with\nwhom she could read Persian?']","[[3196, 3227], [3266, 3364]]","A Thin, Elderly Gentleman","['Mr. Hilbery', 'Ralph Denham', 'Katharine Hilbery', 'Mrs. Hilbery', 'Mr. Fortescue']","Anaphoric","broke in a thin elderly gentleman","[[], []]","[[], []]","[[], []]"
"Q4","A cousin of ours has married and gone to live in Manchester,","['A cousin of ours has married and gone to live in Manchester,']","[[3368, 3428]]","Katharine Hilbery","['Mr. Hilbery', 'A Thin, Elderly Gentleman', 'Ralph Denham', 'Mrs. Hilbery', 'Mr. Fortescue']","Explicit","Katharine explained","[[]]","[[]]","[[]]"
"Q5","Have you ever been to Manchester?","['Have you ever been to Manchester?']","[[4001, 4034]]","Ralph Denham","['Katharine Hilbery']","Anaphoric","he asked Katharine","[['you']]","[[[4006, 4009]]]","[[['Katharine Hilbery']]]"
"Q6","Never,","['Never,']","[[4058, 4064]]","Katharine Hilbery","['Ralph Denham']","Anaphoric","she replied","[[]]","[[]]","[[]]"
"Q7","Why do you object to it, then?","['Why do you object to it, then?']","[[4081, 4111]]","Ralph Denham","['Katharine Hilbery']","Implicit","nan","[['you']]","[[[4088, 4091]]]","[[['Katharine Hilbery']]]"
"Q8","I should think there would be no one to talk to in Manchester,","['I should think there would be no one to talk to in Manchester,']","[[4806, 4868]]","Katharine Hilbery","['Ralph Denham']","Anaphoric","she replied","[[]]","[[]]","[[]]"
"Q9","In spite of a slight tendency to exaggeration, Katharine decidedly
hits the mark,","['In spite of a slight tendency to exaggeration, Katharine decidedly\nhits the mark,']","[[5076, 5157]]","Mr. Fortescue","['Mr. Hilbery', 'A Thin, Elderly Gentleman', 'Ralph Denham', 'Katharine Hilbery', 'Mrs. Hilbery']","Anaphoric","he said","[['Katharine']]","[[[5123, 5132]]]","[[['Katharine Hilbery']]]"
