Character ID,Main Name,Aliases,Gender,Category
0,Catherine Morland,"{'Miss Morland', 'Catherine Morland', 'Catherine'}",F,major
1,Eleanor Tilney,"{'Eleanor Tilney', 'Eleanor', 'Miss Tilney'}",F,intermediate
2,Frederick Tilney,"{'Captain Frederick Tilney', 'Frederick', 'Frederick Tilney', 'Captain Tilney'}",F,minor
3,General Tilney,{'General Tilney'},M,minor
4,Henry Tilney,"{'Henry Tilney', 'Tilney', 'Henry', 'Mr. Tilney'}",M,major
5,Isabella Thorpe,"{'Belle', 'Miss Thorpe', 'Isabella', 'Isabella Thorpe'}",F,major
6,James Morland,"{'James Morland', 'James', 'Morland'}",M,minor
7,John Thorpe,"{'John Thorpe', 'Thorpe', 'John'}",M,intermediate
8,Maria Thorpe,"{'Miss Maria', 'Maria', 'Maria Thorpe'}",F,minor
9,Miss Anne,"{'Anne', 'Anne Thorpe', 'Miss Anne'}",F,minor
10,Mr. Allen,{'Mr. Allen'},M,minor
11,Mr. Morland,['Mr. Morland'],M,minor
12,Mr. Thorpe,['Mr. Thorpe'],M,minor
13,Mrs. Allen,{'Mrs. Allen'},F,intermediate
14,Mrs. Hughes,{'Mrs. Hughes'},F,minor
15,Mrs. Morland,{'Mrs. Morland'},F,minor
16,Mrs. Thorpe,{'Mrs. Thorpe'},F,minor
17,Sarah,{'Sarah'},F,minor
18,_group,['_group'],X,minor
19,_unknowable,['_unknowable'],X,minor
