"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","I beg, Catherine, you will always wrap yourself up
very warm about the throat, when you come from the rooms at night; and
I wish you would try to keep some account of the money you spend; I
will give you this little book on purpose.","['I beg, Catherine, you will always wrap yourself up\nvery warm about the throat, when you come from the rooms at night; and\nI wish you would try to keep some account of the money you spend; I\nwill give you this little book on purpose.']","[[9575, 9807]]","Mrs. Morland","['Catherine Morland']","Anaphoric","Her cautions were","[['Catherine', 'you', 'you', 'you', 'you', 'you']]","[[[9582, 9591], [9593, 9596], [9659, 9662], [9704, 9707], [9752, 9755], [9775, 9778]]]","[[['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland']]]"
"Q1","I wish you could dance, my dear I wish you could
get a partner.","['I wish you could dance, my dear I wish you could\nget a partner.']","[[15242, 15305]]","Mrs. Allen","['Catherine Morland']","Explicit","Mrs Allen did all that she could do in such a case by saying","[['you', 'my dear', 'you']]","[[[15249, 15252], [15266, 15273], [15281, 15284]]]","[[['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland']]]"
"Q2","It would have been very
shocking to have it torn, would not it? It is such a
delicate muslin. For my part I have not seen anything I like so well in
the whole room, I assure you.","['It would have been very\nshocking to have it torn,', 'would not it? It is such a\ndelicate muslin. For my part I have not seen anything I like so well in\nthe whole room, I assure you.']","[[16579, 16628], [16641, 16769]]","Mrs. Allen","['Catherine Morland']","Anaphoric","said she","[[], ['you']]","[[], [[16765, 16768]]]","[[], [['Catherine Morland']]]"
"Q3","How uncomfortable it is, not to have a single
acquaintance here!","['How uncomfortable it is,', 'not to have a single\nacquaintance here!']","[[16773, 16797], [16821, 16860]]","Catherine Morland","['Mrs. Allen']","Explicit","whispered Catherine","[[], []]","[[], []]","[[], []]"
"Q4","Yes, my dear, it is very
uncomfortable indeed.","['Yes, my dear,', 'it is very\nuncomfortable indeed.']","[[16864, 16877], [16923, 16955]]","Mrs. Allen","['Catherine Morland']","Explicit","replied Mrs Allen","[['my dear'], []]","[[[16869, 16876]], []]","[[['Catherine Morland']], []]"
"Q5","What shall we do? The gentlemen and ladies at this table look as if
they wondered why we came here we seem forcing ourselves into their
party.","['What shall we do? The gentlemen and ladies at this table look as if\nthey wondered why we came here we seem forcing ourselves into their\nparty.']","[[16959, 17101]]","Catherine Morland","['Mrs. Allen']","Implicit","nan","[['we', 'we', 'we']]","[[[16970, 16972], [17045, 17047], [17058, 17060]]]","[[['Mrs. Allen', 'Catherine Morland'], ['Mrs. Allen', 'Catherine Morland'], ['Mrs. Allen', 'Catherine Morland']]]"
"Q6","Aye, so we do. That is very disagreeable. I wish we had a large
acquaintance here.","['Aye, so we do. That is very disagreeable. I wish we had a large\nacquaintance here.']","[[17105, 17187]]","Mrs. Allen","['Catherine Morland']","Implicit","nan","[['we', 'we']]","[[[17113, 17115], [17154, 17156]]]","[[['Mrs. Allen', 'Catherine Morland'], ['Mrs. Allen', 'Catherine Morland']]]"
"Q7","I wish we had _any;_ it would be somebody to go to.","['I wish we had _any;_ it would be somebody to go to.']","[[17191, 17242]]","Catherine Morland","['Mrs. Allen']","Implicit","nan","[['we']]","[[[17198, 17200]]]","[[['Mrs. Allen', 'Catherine Morland']]]"
"Q8","Very true, my dear; and if we knew anybody we would join them
directly. The Skinners were here last year I wish they were here now.","['Very true, my dear; and if we knew anybody we would join them\ndirectly. The Skinners were here last year I wish they were here now.']","[[17246, 17377]]","Mrs. Allen","['Catherine Morland']","Implicit","nan","[['my dear', 'we', 'we']]","[[[17257, 17264], [17273, 17275], [17289, 17291]]]","[[['Catherine Morland'], ['Mrs. Allen', 'Catherine Morland'], ['Catherine Morland']]]"
"Q9","Had not we better go away as it is? Here are no tea-things for us, you
see.","['Had not we better go away as it is? Here are no tea-things for us, you\nsee.']","[[17381, 17456]]","Catherine Morland","['Mrs. Allen']","Implicit","nan","[['we', 'us', 'you']]","[[[17389, 17391], [17444, 17446], [17448, 17451]]]","[[['Mrs. Allen', 'Catherine Morland'], ['Mrs. Allen', 'Catherine Morland'], ['Mrs. Allen']]]"
"Q10","No more there are, indeed. How very provoking! But I think we had
better sit still, for one gets so tumbled in such a crowd! How is my
head, my dear? Somebody gave me a push that has hurt it, I am afraid.","['No more there are, indeed. How very provoking! But I think we had\nbetter sit still, for one gets so tumbled in such a crowd! How is my\nhead, my dear? Somebody gave me a push that has hurt it, I am afraid.']","[[17460, 17664]]","Mrs. Allen","['Catherine Morland']","Implicit","nan","[['we', 'my dear']]","[[[17519, 17521], [17601, 17608]]]","[[['Mrs. Allen', 'Catherine Morland'], ['Catherine Morland']]]"
"Q11","No, indeed, it looks very nice. But, dear Mrs. Allen, are you sure
there is nobody you know in all this multitude of people? I think you
_must_ know somebody.","['No, indeed, it looks very nice. But, dear Mrs. Allen, are you sure\nthere is nobody you know in all this multitude of people? I think you\n_must_ know somebody.']","[[17668, 17826]]","Catherine Morland","['Mrs. Allen']","Implicit","nan","[['dear Mrs. Allen', 'you', 'you', 'you']]","[[[17705, 17720], [17726, 17729], [17751, 17754], [17801, 17804]]]","[[['Mrs. Allen'], ['Mrs. Allen'], ['Mrs. Allen'], ['Mrs. Allen']]]"
"Q12","I don t, upon my word I wish I did. I wish I had a large acquaintance
here with all my heart, and then I should get you a partner. I should
be so glad to have you dance. There goes a strange-looking woman! What
an odd gown she has got on! How old-fashioned it is! Look at the back.","['I don t, upon my word I wish I did. I wish I had a large acquaintance\nhere with all my heart, and then I should get you a partner. I should\nbe so glad to have you dance. There goes a strange-looking woman! What\nan odd gown she has got on! How old-fashioned it is! Look at the back.']","[[17830, 18111]]","Mrs. Allen","['Catherine Morland']","Implicit","nan","[['you', 'you']]","[[[17946, 17949], [17989, 17992]]]","[[['Catherine Morland'], ['Catherine Morland']]]"
