quoteID,quoteText,subQuotationList,quoteByteSpans,speaker,addressees,quoteType,referringExpression,mentionTextsList,mentionSpansList,mentionEntitiesList
Q0,"Let me see the child, and die.","['Let me see the child, and die.']","[[3039, 3069]]",Agnes Fleming,"['Mrs. Thingummy', 'The Surgeon']",Anaphoric,a faint voice imperfectly articulated,[[]],[[]],[[]]
Q1,"Oh, you must not talk about dying yet.","['Oh, you must not talk about dying yet.']","[[3333, 3371]]",The Surgeon,"['Mrs. Thingummy', 'Agnes Fleming']",Anaphoric,he rose and advancing to the beds head said,[['you']],"[[[3337, 3340]]]",[[['Agnes Fleming']]]
Q2,"Lor bless her dear heart, no!","['Lor bless her dear heart, no!']","[[3375, 3404]]",Mrs. Thingummy,"['Agnes Fleming', 'The Surgeon']",Anaphoric,interposed the nurse,[['her']],"[[[3385, 3388]]]",[[['Agnes Fleming']]]
Q3,"Lor bless her dear heart, when she has lived as long as I have, sir,
and had thirteen children of her own, and all on 'em dead except two,
and them in the wurkus with me, she'll know better than to take on in
that way, bless her dear heart! Think what it is to be a mother,
there's a dear young lamb do.","[""Lor bless her dear heart, when she has lived as long as I have, sir,\nand had thirteen children of her own, and all on 'em dead except two,\nand them in the wurkus with me, she'll know better than to take on in\nthat way, bless her dear heart! Think what it is to be a mother,\nthere's a dear young lamb do.""]","[[3567, 3870]]",Mrs. Thingummy,"['Agnes Fleming', 'The Surgeon']",Implicit,,"[['her', 'she', 'sir', 'her', 'she', 'her']]","[[[3577, 3580], [3598, 3601], [3631, 3634], [3665, 3668], [3738, 3741], [3792, 3795]]]","[[['Agnes Fleming'], ['Agnes Fleming'], ['The Surgeon'], ['Agnes Fleming'], ['Agnes Fleming'], ['Agnes Fleming']]]"
Q4,"It's all over, Mrs. Thingummy!","[""It's all over, Mrs. Thingummy!""]","[[4381, 4411]]",The Surgeon,['Mrs. Thingummy'],Explicit,said the surgeon,[[]],[[]],[[]]
Q5,"Ah, poor dear, so it is! Poor dear!","['Ah, poor dear, so it is!', 'Poor dear!']","[[4441, 4465], [4598, 4608]]",Mrs. Thingummy,['The Surgeon'],Anaphoric,said the nurse,"[[], []]","[[], []]","[[], []]"
Q6,"You needn't mind sending up to me, if the child cries, nurse, It's very
likely it _will_ be troublesome. Give it a little gruel if it is.","[""You needn't mind sending up to me, if the child cries, nurse,"", ""It's very\nlikely it _will_ be troublesome. Give it a little gruel if it is.""]","[[4612, 4673], [4741, 4816]]",The Surgeon,['Mrs. Thingummy'],Explicit,said the surgeon,"[['You', 'the child', 'nurse'], []]","[[[4612, 4615], [4650, 4659], [4667, 4672]], []]","[[['Mrs. Thingummy'], ['Oliver Twist'], ['Mrs. Thingummy']], []]"
Q7,"She was a good-looking girl, too; where did she come from?","['She was a good-looking girl, too; where did she come from?']","[[4898, 4956]]",The Surgeon,['Mrs. Thingummy'],Anaphoric,He put on his hat and pausing by the bedside on his way to the door added,"[['She', 'she']]","[[[4898, 4901], [4942, 4945]]]","[[['Agnes Fleming'], ['Agnes Fleming']]]"
Q8,"She was brought here last night, by the
overseer's order. She was found lying in the street. She had walked
some distance, for her shoes were worn to pieces; but where she came
from, or where she was going to, nobody knows.","['She was brought here last night,', ""by the\noverseer's order. She was found lying in the street. She had walked\nsome distance, for her shoes were worn to pieces; but where she came\nfrom, or where she was going to, nobody knows.""]","[[4960, 4992], [5018, 5208]]",Mrs. Thingummy,['The Surgeon'],Anaphoric,replied the old woman,"[['She'], ['She', 'She', 'her', 'she', 'she']]","[[[4960, 4963]], [[5043, 5046], [5078, 5081], [5112, 5115], [5153, 5156], [5177, 5180]]]","[[['Agnes Fleming']], [['Agnes Fleming'], ['Agnes Fleming'], ['Agnes Fleming'], ['Agnes Fleming'], ['Agnes Fleming']]]"
Q9,"The old
story, no wedding-ring, I see. Ah!
Good-night!","['The old\nstory,', 'no wedding-ring, I see. Ah!\nGood-night!']","[[5272, 5286], [5316, 5355]]",The Surgeon,['Mrs. Thingummy'],Anaphoric,he said,"[[], []]","[[], []]","[[], []]"
