"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","For they must have been seen together, once at Tattersall's, and twice in the lobby of the House of
Commons.","['For they must have been seen together,', ""once at Tattersall's, and twice in the lobby of the House of\nCommons.""]","[[10566, 10604], [10620, 10689]]","Sir Walter Elliot","['_unknowable']","Anaphoric","he observed","[['they'], []]","[[[10570, 10574]], []]","[[['Mr Elliot', '_unknowable']], []]"
"Q1","Can we retrench?  Does it occur to
you that there is any one article in which we can retrench?","['Can we retrench?  Does it occur to\nyou that there is any one article in which we can retrench?']","[[13471, 13565]]","Sir Walter Elliot","['Elizabeth']","Anaphoric","he had gone so far even as to say","[['we', 'we']]","[[[13475, 13477], [13549, 13551]]]","[[['Sir Walter Elliot', 'Anne Elliot'], ['Sir Walter Elliot', 'Anne Elliot']]]"
"Q2","If we can persuade your father to all this, much may be done.  If he will adopt these
regulations, in seven years he will be clear; and I hope we may be able
to convince him and Elizabeth, that Kellynch Hall has a respectability
in itself which cannot be affected by these reductions; and that the
true dignity of Sir Walter Elliot will be very far from lessened in the
eyes of sensible people, by acting like a man of principle.  What will
he be doing, in fact, but what very many of our first families have
done, or ought to do?  There will be nothing singular in his case; and
it is singularity which often makes the worst part of our suffering, as
it always does of our conduct.  I have great hope of prevailing.  We
must be serious and decided; for after all, the person who has
contracted debts must pay them; and though a great deal is due to the
feelings of the gentleman, and the head of a house, like your father,
there is still more due to the character of an honest man.","['If we can persuade your father to all this,', 'much may be done.  If he will adopt these\nregulations, in seven years he will be clear; and I hope we may be able\nto convince him and Elizabeth, that Kellynch Hall has a respectability\nin itself which cannot be affected by these reductions; and that the\ntrue dignity of Sir Walter Elliot will be very far from lessened in the\neyes of sensible people, by acting like a man of principle.  What will\nhe be doing, in fact, but what very many of our first families have\ndone, or ought to do?  There will be nothing singular in his case; and\nit is singularity which often makes the worst part of our suffering, as\nit always does of our conduct.  I have great hope of prevailing.  We\nmust be serious and decided; for after all, the person who has\ncontracted debts must pay them; and though a great deal is due to the\nfeelings of the gentleman, and the head of a house, like your father,\nthere is still more due to the character of an honest man.']","[[17784, 17827], [17873, 18811]]","Lady Russell","['Anne Elliot']","Explicit","said Lady Russell","[['we', 'your father'], ['he', 'he', 'we', 'him', 'Elizabeth', 'Sir Walter Elliot', 'Walter', 'he ', 'his', 'We', 'your father']]","[[[17787, 17789], [17803, 17814]], [[17895, 17897], [17943, 17945], [17972, 17974], [17999, 18002], [18007, 18016], [18143, 18160], [18147, 18153], [18270, 18273], [18395, 18398], [18547, 18549], [18740, 18751]]]","[[['Anne Elliot', 'Lady Russell'], ['Sir Walter Elliot']], [['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Anne Elliot', 'Lady Russell'], ['Sir Walter Elliot'], ['Elizabeth'], ['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Anne Elliot', 'Lady Russell'], ['Sir Walter Elliot']]]"
"Q3","advertise,","['advertise,']","[[24063, 24073]]","Mr Shepherd","['Sir Walter Elliot']","nan","Mr Shepherd had once mentioned","[[]]","[[]]","[[]]"
"Q4","I must take leave to observe, Sir Walter, that the
present juncture is much in our favour.  This peace will be turning all
our rich naval officers ashore.  They will be all wanting a home.
Could not be a better time, Sir Walter, for having a choice of tenants,
very responsible tenants.  Many a noble fortune has been made during
the war.  If a rich admiral were to come in our way, Sir Walter--","['I must take leave to observe, Sir Walter,', 'that the\npresent juncture is much in our favour.  This peace will be turning all\nour rich naval officers ashore.  They will be all wanting a home.\nCould not be a better time, Sir Walter, for having a choice of tenants,\nvery responsible tenants.  Many a noble fortune has been made during\nthe war.  If a rich admiral were to come in our way, Sir Walter--']","[[26547, 26588], [26669, 27022]]","Mr Shepherd","['Mrs Clay', 'Sir Walter Elliot', 'Anne Elliot']","Explicit","said Mr Shepherd","[['Sir Walter'], ['our ', 'Sir Walter', 'Sir Walter']]","[[[26577, 26587]], [[26706, 26710], [26844, 26854], [27010, 27020]]]","[[['Sir Walter Elliot']], [['Mr Shepherd', 'Sir Walter Elliot'], ['Sir Walter Elliot'], ['Sir Walter Elliot']]]"
"Q5","He would be a very lucky man, Shepherd, that's
all I have to remark.  A prize indeed would Kellynch Hall be to him;
rather the greatest prize of all, let him have taken ever so many
before; hey, Shepherd?","['He would be a very lucky man, Shepherd,', ""that's\nall I have to remark.  A prize indeed would Kellynch Hall be to him;\nrather the greatest prize of all, let him have taken ever so many\nbefore; hey, Shepherd?""]","[[27026, 27065], [27088, 27252]]","Sir Walter Elliot","['Mr Shepherd', 'Mrs Clay', 'Anne Elliot']","Explicit","replied Sir Walter","[['He', 'Shepherd'], ['him', 'him', 'Shepherd']]","[[[27026, 27028], [27056, 27064]], [[27159, 27162], [27202, 27205], [27243, 27251]]]","[[['_unknowable'], ['Mr Shepherd']], [['_unknowable'], ['_unknowable'], ['Mr Shepherd']]]"
"Q6","I presume to observe, Sir Walter, that, in the way of business,
gentlemen of the navy are well to deal with.  I have had a little
knowledge of their methods of doing business; and I am free to confess
that they have very liberal notions, and are as likely to make
desirable tenants as any set of people one should meet with.
Therefore, Sir Walter, what I would take leave to suggest is, that if
in consequence of any rumours getting abroad of your intention; which
must be contemplated as a possible thing, because we know how difficult
it is to keep the actions and designs of one part of the world from the
notice and curiosity of the other; consequence has its tax; I, John
Shepherd, might conceal any family-matters that I chose, for nobody
would think it worth their while to observe me; but Sir Walter Elliot
has eyes upon him which it may be very difficult to elude; and
therefore, thus much I venture upon, that it will not greatly surprise
me if, with all our caution, some rumour of the truth should get
abroad; in the supposition of which, as I was going to observe, since
applications will unquestionably follow, I should think any from our
wealthy naval commanders particularly worth attending to; and beg leave
to add, that two hours will bring me over at any time, to save you the
trouble of replying.","['I presume to observe, Sir Walter, that, in the way of business,\ngentlemen of the navy are well to deal with.  I have had a little\nknowledge of their methods of doing business; and I am free to confess\nthat they have very liberal notions, and are as likely to make\ndesirable tenants as any set of people one should meet with.\nTherefore, Sir Walter, what I would take leave to suggest is, that if\nin consequence of any rumours getting abroad of your intention; which\nmust be contemplated as a possible thing, because we know how difficult\nit is to keep the actions and designs of one part of the world from the\nnotice and curiosity of the other; consequence has its tax; I, John\nShepherd, might conceal any family-matters that I chose, for nobody\nwould think it worth their while to observe me; but Sir Walter Elliot\nhas eyes upon him which it may be very difficult to elude; and\ntherefore, thus much I venture upon, that it will not greatly surprise\nme if, with all our caution, some rumour of the truth should get\nabroad; in the supposition of which, as I was going to observe, since\napplications will unquestionably follow, I should think any from our\nwealthy naval commanders particularly worth attending to; and beg leave\nto add, that two hours will bring me over at any time, to save you the\ntrouble of replying.']","[[27328, 28644]]","Mr Shepherd","['Mrs Clay', 'Sir Walter Elliot', 'Anne Elliot']","Explicit","Mr Shepherd laughed as he knew he must at this wit and then added","[['Sir Walter', 'Sir Walter', 'your', 'we', 'John\nShepherd', 'Sir Walter Elliot', 'Walter', 'him', 'our ', 'you']]","[[[27350, 27360], [27664, 27674], [27771, 27775], [27843, 27845], [28000, 28013], [28125, 28142], [28129, 28135], [28157, 28160], [28293, 28297], [28616, 28619]]]","[[['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Mr Shepherd'], ['Mr Shepherd'], ['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Mr Shepherd'], ['Sir Walter Elliot']]]"
"Q7","There are few among the gentlemen of the navy, I imagine, who would
not be surprised to find themselves in a house of this description.","['There are few among the gentlemen of the navy, I imagine, who would\nnot be surprised to find themselves in a house of this description.']","[[28751, 28886]]","Sir Walter Elliot","['Mr Shepherd', 'Mrs Clay', 'Anne Elliot']","Anaphoric","he observed","[[]]","[[]]","[[]]"
"Q8","They would look around them, no doubt, and bless their good fortune, but I quite agree with my father in thinking a sailor might
be a very desirable tenant.  I have known a good deal of the
profession; and besides their liberality, they are so neat and careful
in all their ways!  These valuable pictures of yours, Sir Walter, if
you chose to leave them, would be perfectly safe.  Everything in and
about the house would be taken such excellent care of!  The gardens and
shrubberies would be kept in almost as high order as they are now.  You
need not be afraid, Miss Elliot, of your own sweet flower gardens being
neglected.","['They would look around them, no doubt, and bless their good fortune,', 'but I quite agree with my father in thinking a sailor might\nbe a very desirable tenant.  I have known a good deal of the\nprofession; and besides their liberality, they are so neat and careful\nin all their ways!  These valuable pictures of yours, Sir Walter, if\nyou chose to leave them, would be perfectly safe.  Everything in and\nabout the house would be taken such excellent care of!  The gardens and\nshrubberies would be kept in almost as high order as they are now.  You\nneed not be afraid, Miss Elliot, of your own sweet flower gardens being\nneglected.']","[[28890, 28958], [29109, 29665]]","Mrs Clay","['Mr Shepherd', 'Sir Walter Elliot', 'Anne Elliot']","Explicit","said Mrs Clay","[[], ['Sir Walter', 'you', 'You', 'Miss Elliot', 'your ']]","[[], [[29355, 29365], [29370, 29373], [29579, 29582], [29603, 29614], [29619, 29624]]]","[[], [['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Anne Elliot'], ['Anne Elliot'], ['Anne Elliot']]]"
"Q9","As to all that, supposing I were induced
to let my house, I have by no means made up my mind as to the
privileges to be annexed to it.  I am not particularly disposed to
favour a tenant.  The park would be open to him of course, and few navy
officers, or men of any other description, can have had such a range;
but what restrictions I might impose on the use of the
pleasure-grounds, is another thing.  I am not fond of the idea of my
shrubberies being always approachable; and I should recommend Miss
Elliot to be on her guard with respect to her flower garden.  I am very
little disposed to grant a tenant of Kellynch Hall any extraordinary
favour, I assure you, be he sailor or soldier.","['As to all that,', 'supposing I were induced\nto let my house, I have by no means made up my mind as to the\nprivileges to be annexed to it.  I am not particularly disposed to\nfavour a tenant.  The park would be open to him of course, and few navy\nofficers, or men of any other description, can have had such a range;\nbut what restrictions I might impose on the use of the\npleasure-grounds, is another thing.  I am not fond of the idea of my\nshrubberies being always approachable; and I should recommend Miss\nElliot to be on her guard with respect to her flower garden.  I am very\nlittle disposed to grant a tenant of Kellynch Hall any extraordinary\nfavour, I assure you, be he sailor or soldier.']","[[29669, 29684], [29715, 30389]]","Sir Walter Elliot","['Mr Shepherd', 'Mrs Clay', 'Anne Elliot']","Explicit","rejoined Sir Walter","[[], ['him', 'Miss\nElliot', 'her', 'her', 'you']]","[[], [[29913, 29916], [30197, 30208], [30218, 30221], [30244, 30247], [30360, 30363]]]","[[], [['_unknowable'], ['Anne Elliot'], ['Anne Elliot'], ['Anne Elliot'], ['Sir Walter Elliot']]]"
