Character ID,Main Name,Aliases,Gender,Category
0,Butler,{'Butler'},M,minor
1,Charlotte Lucas,"{'Mrs. Collins', 'Miss Lucas', 'Charlotte Lucas', 'Lady Lucas', 'Charlotte'}",F,intermediate
2,Colonel Fitzwilliam,"{'Colonel Fitzwilliam', 'Fitzwilliam'}",M,intermediate
3,Colonel Forster,['Colonel Forster'],X,minor
4,Denny,['Denny'],X,minor
5,Elizabeth,"{'My Dear Miss Eliza', 'Lizzy', 'My Dear Miss Elizabeth', 'Miss Elizabeth', 'Miss Eliza', 'Elizabeth', 'Eliza', 'My Dearest Lizzy', 'Miss Lizzy'}",F,major
6,George Wickham,"{'Wickham', 'George Wickham', 'Mr. Wickham'}",M,intermediate
7,Jane,"{'Miss Bennet', 'Jane', 'My Dear Jane'}",F,intermediate
8,John,['John'],X,minor
9,Kitty,{'Kitty'},F,minor
10,Lady Catherine De Bourgh,"{'Lady Catherine', 'Catherine', 'Lady Catherine De Bourgh'}",F,intermediate
11,Lydia,"{'Lydia', 'Mrs. Wickham'}",F,intermediate
12,Maria,"{'Maria', 'Maria Lucas'}",F,minor
13,Mary,{'Mary'},F,minor
14,Miss Bingley,"{'Miss Bingley', 'Caroline', 'Ms. Bingley'}",F,intermediate
15,Miss Darcy,['Miss Darcy'],F,minor
16,Mr. Bennet,{'Mr. Bennet'},M,intermediate
17,Mr. Bingley,"{'Mr. Bingley', 'Charles Bingley', 'Charles', 'Bingley'}",M,intermediate
18,Mr. Collins,"{'Mr. Collins', 'William Collins'}",M,intermediate
19,Mr. Darcy,"{'Darcy', 'Mr. Darcy'}",M,major
20,Mr. Gardiner,{'Mr. Gardiner'},M,minor
21,William Goulding,['William Goulding'],X,minor
22,Mr. Hurst,{'Mr. Hurst'},M,minor
23,Mr. Stone,['Mr. Stone'],M,minor
24,Mrs. Annesley,['Mrs. Annesley'],F,minor
25,Mrs. Bennet,"{'Bennet', 'Mrs. Bennet'}",F,major
26,Mrs. Forster,['Mrs. Forster'],F,minor
27,Mrs. Gardiner,{'Mrs. Gardiner'},F,intermediate
28,Mrs. Goulding,['Mrs. Goulding'],F,minor
29,Mrs. Hill,"{'Hill', 'Mrs. Hill'}",F,minor
30,Mrs. Hurst,"{'Louisa', 'Mrs. Hurst'}",F,minor
31,Mrs. Long,['Mrs. Long'],F,minor
32,Mrs. Nicholls,['Mrs. Nicholls'],F,minor
33,Mrs. Philips,{'Mrs. Philips'},F,minor
34,Sarah,['Sarah'],X,minor
35,Sir William Lucas,"{'Sir William Lucas', 'Sir William'}",M,minor
36,The Late Mr. Darcy,['The Late Mr. Darcy'],M,minor
37,Anne De Bourgh,['Anne De Bourgh'],X,minor
38,Aunt Philips,['Aunt Philips'],X,minor
39,Lady Darcy,['Lady Darcy'],F,minor
40,Madam,['Madam'],X,minor
41,Mr. Denney,"{'Mr. Denney', 'Mr. Denny'}",M,minor
42,Mrs. Forester,['Mrs. Forester'],F,minor
43,Ms. Reynolds,['Ms. Reynolds'],F,minor
44,Mrs. Reynolds,"{'Mrs. Reynolds', 'Reynolds'}",F,minor
45,Sir,['Sir'],M,minor
46,Chamberlayne,['Chamberlayne'],X,minor
47,Colonel Millar,['Colonel Millar'],X,minor
48,Harriet,['Harriet'],X,minor
49,Mrs. Jenkinson,['Mrs. Jenkinson'],F,minor
50,Pen,['Pen'],X,minor
51,Pratt,['Pratt'],X,minor
52,The Waiter,['The Waiter'],X,minor
53,Harriet Harrington,['Harriet Harrington'],X,minor
54,Lady Anne Darcy,['Lady Anne Darcy'],F,minor
55,Mr. Darcy Of Pemberley,['Mr. Darcy Of Pemberley'],M,minor
56,Pen Harrington,['Pen Harrington'],X,minor
57,Lady Metcalfe,['Lady Metcalfe'],F,minor
58,Miss King,['Miss King'],F,minor
59,Miss Pope,['Miss Pope'],F,minor
60,Sir Lewis De Bourgh,['Sir Lewis De Bourgh'],M,minor
61,Mr. Philips,['Mr. Philips'],M,minor
62,Richard,['Richard'],X,minor
63,Mr. Collins' Father,"[""Mr. Collins' Father""]",M,minor
64,Mr. Wickham'S Father,"[""Mr. Wickham'S Father""]",M,minor
65,Captain Carter,['Captain Carter'],X,minor
66,Clarke,['Clarke'],X,minor
67,Miss Grantley,['Miss Grantley'],F,minor
68,Miss Watson,['Miss Watson'],F,minor
69,Mr. Jones,['Mr. Jones'],M,minor
70,Mr. Phillips,['Mr. Phillips'],M,minor
71,Mr. Morris,['Mr. Morris'],M,minor
72,Mr. Robinson,['Mr. Robinson'],M,minor
73,A Young Lucas,"{'A Young Lucas', 'Young Lucas'}",M,minor
