"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","My dear Mr. Bennet, have you heard that
Netherfield Park is let at last?","['My dear Mr. Bennet,', 'have you heard that\nNetherfield Park is let at last?']","[[395, 414], [447, 499]]","Mrs. Bennet","['Mr. Bennet']","Anaphoric","said his lady to him","[['My dear Mr. Bennet', 'Mr. Bennet'], ['you']]","[[[395, 413], [403, 413]], [[452, 455]]]","[[['Mr. Bennet'], ['Mr. Bennet']], [['Mr. Bennet']]]"
"Q1","But it is, for Mrs. Long has just been here, and she
told me all about it.","['But it is,', 'for Mrs. Long has just been here, and she\ntold me all about it.']","[[540, 550], [567, 630]]","Mrs. Bennet","['Mr. Bennet']","Anaphoric","returned she","[[], ['Mrs. Long', 'she']]","[[], [[571, 580], [605, 608]]]","[[], [['Mrs. Long'], ['Mrs. Long']]]"
"Q2","Do not you want to know who has taken it?","['Do not you want to know who has taken it?']","[[662, 703]]","Mrs. Bennet","['Mr. Bennet']","Anaphoric","cried his wife","[['you']]","[[[669, 672]]]","[[['Mr. Bennet']]]"
"Q3","_You_ want to tell me, and I have no objection to hearing it.","['_You_ want to tell me, and I have no objection to hearing it.']","[[735, 796]]","Mr. Bennet","['Mrs. Bennet']","Implicit","nan","[['You']]","[[[736, 739]]]","[[['Mrs. Bennet']]]"
"Q4","Why, my dear, you must know, Mrs. Long says that Netherfield is taken
by a young man of large fortune from the north of England; that he came
down on Monday in a chaise and four to see the place, and was so much
delighted with it that he agreed with Mr. Morris immediately; that he is
to take possession before Michaelmas, and some of his servants are to be
in the house by the end of next week.","['Why, my dear, you must know, Mrs. Long says that Netherfield is taken\nby a young man of large fortune from the north of England; that he came\ndown on Monday in a chaise and four to see the place, and was so much\ndelighted with it that he agreed with Mr. Morris immediately; that he is\nto take possession before Michaelmas, and some of his servants are to be\nin the house by the end of next week.']","[[829, 1224]]","Mrs. Bennet","['Mr. Bennet']","Implicit","nan","[['my dear', 'you', 'Mrs. Long', 'a young man', 'he', 'he', 'Mr. Morris', 'he', 'his']]","[[[834, 841], [843, 846], [858, 867], [902, 913], [963, 965], [1064, 1066], [1079, 1089], [1108, 1110], [1164, 1167]]]","[[['Mr. Bennet'], ['Mr. Bennet'], ['Mrs. Long'], ['Bingley'], ['Mr. Bingley'], ['Mr. Bingley'], ['Mr. Morris'], ['Mr. Bingley'], ['Mr. Bingley']]]"
"Q5","What is his name?","['What is his name?']","[[1228, 1245]]","Mr. Bennet","['Mrs. Bennet']","Implicit","nan","[['his']]","[[[1236, 1239]]]","[[['Mr. Bingley']]]"
"Q6","Bingley.","['Bingley.']","[[1249, 1257]]","Mrs. Bennet","['Mr. Bennet']","Implicit","nan","[['Bingley']]","[[[1249, 1256]]]","[[['Mr. Bingley']]]"
"Q7","Is he married or single?","['Is he married or single?']","[[1261, 1285]]","Mr. Bennet","['Mrs. Bennet']","Implicit","nan","[['he']]","[[[1264, 1266]]]","[[['Mr. Bingley']]]"
"Q8","Oh! single, my dear, to be sure! A single man of large fortune; four
or five thousand a year. What a fine thing for our girls!","['Oh! single, my dear, to be sure! A single man of large fortune; four\nor five thousand a year. What a fine thing for our girls!']","[[1289, 1415]]","Mrs. Bennet","['Mr. Bennet']","Implicit","nan","[['my dear', 'our girls']]","[[[1301, 1308], [1405, 1414]]]","[[['Mr. Bennet'], ['Mary', 'Elizabeth', 'Lydia', 'Kitty', 'Jane']]]"
"Q9","How so? how can it affect them?","['How so? how can it affect them?']","[[1419, 1450]]","Mr. Bennet","['Mrs. Bennet']","Implicit","nan","[['them']]","[[[1445, 1449]]]","[[['Mary', 'Elizabeth', 'Lydia', 'Kitty', 'Jane']]]"
"Q10","My dear Mr. Bennet, how can you be so tiresome! You
must know that I am thinking of his marrying one of them.","['My dear Mr. Bennet,', 'how can you be so tiresome! You\nmust know that I am thinking of his marrying one of them.']","[[1454, 1473], [1494, 1583]]","Mrs. Bennet","['Mr. Bennet']","Anaphoric","replied his wife","[['Mr. Bennet'], ['you', 'his', 'them']]","[[[1462, 1472]], [[1502, 1505], [1558, 1561], [1578, 1582]]]","[[['Mr. Bennet']], [['Mr. Bennet'], ['Mr. Bingley'], ['Mary', 'Elizabeth', 'Lydia', 'Kitty', 'Jane']]]"
"Q11","Is that his design in settling here?","['Is that his design in settling here?']","[[1587, 1623]]","Mr. Bennet","['Mrs. Bennet']","Implicit","nan","[['his']]","[[[1595, 1598]]]","[[['Mr. Bingley']]]"
"Q12","Design! nonsense, how can you talk so! But it is very likely that he
_may_ fall in love with one of them, and therefore you must visit him as
soon as he comes.","['Design! nonsense, how can you talk so! But it is very likely that he\n_may_ fall in love with one of them, and therefore you must visit him as\nsoon as he comes.']","[[1627, 1786]]","Mrs. Bennet","['Mr. Bennet']","Implicit","nan","[['you', 'he', 'them', 'you', 'him', 'he']]","[[[1653, 1656], [1693, 1695], [1727, 1731], [1747, 1750], [1762, 1765], [1777, 1779]]]","[[['Mr. Bennet'], ['Mr. Bingley'], ['Mary', 'Elizabeth', 'Lydia', 'Kitty', 'Jane'], ['Mr. Bennet'], ['Mr. Bingley'], ['Mr. Bingley']]]"
"Q13","I see no occasion for that. You and the girls may go, or you may send
them by themselves, which perhaps will be still better, for as you are
as handsome as any of them, Mr. Bingley might like you the best of the
party.","['I see no occasion for that. You and the girls may go, or you may send\nthem by themselves, which perhaps will be still better, for as you are\nas handsome as any of them, Mr. Bingley might like you the best of the\nparty.']","[[1790, 2008]]","Mr. Bennet","['Mrs. Bennet']","Implicit","nan","[['You', 'the girls', 'you', 'you', 'them', 'you', 'the\nparty']]","[[[1818, 1821], [1826, 1835], [1847, 1850], [1923, 1926], [1953, 1957], [1982, 1985], [1998, 2007]]]","[[['Mrs. Bennet'], ['Mary', 'Elizabeth', 'Lydia', 'Kitty', 'Jane'], ['Mrs. Bennet'], ['Mrs. Bennet'], ['Mary', 'Elizabeth', 'Lydia', 'Kitty', 'Jane'], ['Mrs. Bennet'], ['Elizabeth', 'Mrs. Bennet', 'Jane', 'Lydia', 'Mary', 'Kitty']]]"
"Q14","My dear, you flatter me. I certainly _have_ had my share of beauty, but
I do not pretend to be any thing extraordinary now. When a woman has
five grown up daughters, she ought to give over thinking of her own
beauty.","['My dear, you flatter me. I certainly _have_ had my share of beauty, but\nI do not pretend to be any thing extraordinary now. When a woman has\nfive grown up daughters, she ought to give over thinking of her own\nbeauty.']","[[2012, 2228]]","Mrs. Bennet","['Mr. Bennet']","Implicit","nan","[['My dear', 'you']]","[[[2012, 2019], [2021, 2024]]]","[[['Mr. Bennet'], ['Mr. Bennet']]]"
"Q15","In such cases, a woman has not often much beauty to think of.","['In such cases, a woman has not often much beauty to think of.']","[[2232, 2293]]","Mr. Bennet","['Mrs. Bennet']","Implicit","nan","[[]]","[[]]","[[]]"
"Q16","But, my dear, you must indeed go and see Mr. Bingley when he comes into
the neighbourhood.","['But, my dear, you must indeed go and see Mr. Bingley when he comes into\nthe neighbourhood.']","[[2297, 2387]]","Mrs. Bennet","['Mr. Bennet']","Implicit","nan","[['my dear', 'you', 'Mr. Bingley', 'he']]","[[[2302, 2309], [2311, 2314], [2338, 2349], [2355, 2357]]]","[[['Mr. Bennet'], ['Mr. Bennet'], ['Mr. Bingley'], ['Mr. Bingley']]]"
"Q17","It is more than I engage for, I assure you.","['It is more than I engage for, I assure you.']","[[2391, 2434]]","Mr. Bennet","['Mrs. Bennet']","Implicit","nan","[['you']]","[[[2430, 2433]]]","[[['Mrs. Bennet']]]"
"Q18","But consider your daughters. Only think what an establishment it would
be for one of them. Sir William and Lady Lucas are determined to go,
merely on that account, for in general you know they visit no new
comers. Indeed you must go, for it will be impossible for _us_ to visit
him, if you do not.","['But consider your daughters. Only think what an establishment it would\nbe for one of them. Sir William and Lady Lucas are determined to go,\nmerely on that account, for in general you know they visit no new\ncomers. Indeed you must go, for it will be impossible for _us_ to visit\nhim, if you do not.']","[[2438, 2735]]","Mrs. Bennet","['Mr. Bennet']","Implicit","nan","[['your daughters', 'them', 'Sir William', 'Lady Lucas', 'you', 'they', 'you', 'us', 'you']]","[[[2451, 2465], [2523, 2527], [2529, 2540], [2545, 2555], [2617, 2620], [2626, 2630], [2659, 2662], [2703, 2705], [2724, 2727]]]","[[['Mary', 'Elizabeth', 'Lydia', 'Kitty', 'Jane'], ['Mary', 'Elizabeth', 'Lydia', 'Kitty', 'Jane'], ['Sir William Lucas'], ['Lady Lucas'], ['Mr. Bennet'], ['Sir William Lucas', 'Lady Lucas'], ['Mr. Bennet'], ['Mary', 'Elizabeth', 'Lydia', 'Mrs. Bennet', 'Kitty', 'Jane'], ['Mr. Bennet']]]"
"Q19","You are over scrupulous surely. I dare say Mr. Bingley will be very
glad to see you; and I will send a few lines by you to assure him of my
hearty consent to his marrying which ever he chuses of the girls; though
I must throw in a good word for my little Lizzy.","['You are over scrupulous surely. I dare say Mr. Bingley will be very\nglad to see you; and I will send a few lines by you to assure him of my\nhearty consent to his marrying which ever he chuses of the girls; though\nI must throw in a good word for my little Lizzy.']","[[2739, 3000]]","Mr. Bennet","['Mrs. Bennet']","Implicit","nan","[['You', 'Mr. Bingley', 'you', 'you', 'him', 'his', 'he', 'the girls', 'my little Lizzy']]","[[[2739, 2742], [2782, 2793], [2819, 2822], [2855, 2858], [2869, 2872], [2897, 2900], [2921, 2923], [2934, 2943], [2984, 2999]]]","[[['Mrs. Bennet'], ['Mr. Bingley'], ['Mary', 'Elizabeth', 'Lydia', 'Mrs. Bennet', 'Kitty', 'Jane'], ['Mary', 'Elizabeth', 'Lydia', 'Mrs. Bennet', 'Kitty', 'Jane'], ['Mr. Bingley'], ['Mr. Bingley'], ['Mr. Bingley'], ['Mary', 'Elizabeth', 'Lydia', 'Kitty', 'Jane'], ['Elizabeth']]]"
"Q20","I desire you will do no such thing. Lizzy is not a bit better than the
others; and I am sure she is not half so handsome as Jane, nor half so
good humoured as Lydia. But you are always giving _her_ the
preference.","['I desire you will do no such thing. Lizzy is not a bit better than the\nothers; and I am sure she is not half so handsome as Jane, nor half so\ngood humoured as Lydia. But you are always giving _her_ the\npreference.']","[[3004, 3217]]","Mrs. Bennet","['Mr. Bennet']","Implicit","nan","[['you', 'Lizzy', 'the\nothers', 'she', 'Jane', 'Lydia', 'you', 'her']]","[[[3013, 3016], [3040, 3045], [3071, 3081], [3097, 3100], [3128, 3132], [3163, 3168], [3174, 3177], [3197, 3200]]]","[[['Mr. Bennet'], ['Elizabeth'], ['Jane', 'Lydia', 'Mary', 'Kitty'], ['Elizabeth'], ['Jane'], ['Lydia'], ['Mr. Bennet'], ['Elizabeth']]]"
