"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","It was my father s last request to me, that I
should assist his widow and daughters.","['It was my father s last request to me,', 'that I\nshould assist his widow and daughters.']","[[10733, 10771], [10795, 10840]]","John Dashwood","['Fanny']","Anaphoric","replied her husband","[[], ['his widow', 'daughters']]","[[], [[10816, 10825], [10830, 10839]]]","[[], [['Mrs. Dashwood'], ['Marianne', 'Margaret', 'Elinor']]]"
"Q1","He did not know what he was talking of, I dare say; ten to one but he
was light-headed at the time. Had he been in his right senses, he could
not have thought of such a thing as begging you to give away half your
fortune from your own child.","['He did not know what he was talking of, I dare say; ten to one but he\nwas light-headed at the time. Had he been in his right senses, he could\nnot have thought of such a thing as begging you to give away half your\nfortune from your own child.']","[[10844, 11085]]","Fanny","['John Dashwood']","Implicit","nan","[['He', 'he', 'he', 'he', 'his', 'he', 'you']]","[[[10844, 10846], [10865, 10867], [10911, 10913], [10948, 10950], [10959, 10962], [10977, 10979], [11030, 11033]]]","[[['John Dashwood'], ['John Dashwood'], ['John Dashwood'], ['John Dashwood'], ['John Dashwood'], ['John Dashwood'], ['John Dashwood']]]"
"Q2","He did not stipulate for any particular sum, my dear Fanny; he only
requested me, in general terms, to assist them, and make their
situation more comfortable than it was in his power to do. Perhaps it
would have been as well if he had left it wholly to myself. He could
hardly suppose I should neglect them. But as he required the promise, I
could not do less than give it; at least I thought so at the time. The
promise, therefore, was given, and must be performed. Something must be
done for them whenever they leave Norland and settle in a new home.","['He did not stipulate for any particular sum, my dear Fanny; he only\nrequested me, in general terms, to assist them, and make their\nsituation more comfortable than it was in his power to do. Perhaps it\nwould have been as well if he had left it wholly to myself. He could\nhardly suppose I should neglect them. But as he required the promise, I\ncould not do less than give it; at least I thought so at the time. The\npromise, therefore, was given, and must be performed. Something must be\ndone for them whenever they leave Norland and settle in a new home.']","[[11089, 11641]]","John Dashwood","['Fanny']","Implicit","nan","[['He', 'my dear Fanny', 'Fanny', 'he', 'them', 'their', 'his', 'he', 'He', 'them', 'he', 'them', 'they']]","[[[11089, 11091], [11134, 11147], [11142, 11147], [11149, 11151], [11199, 11203], [11214, 11219], [11262, 11265], [11317, 11319], [11350, 11352], [11391, 11395], [11404, 11406], [11583, 11587], [11597, 11601]]]","[[['John Dashwood'], ['Fanny'], ['Fanny'], ['John Dashwood'], ['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret'], ['Elinor'], ['John Dashwood'], ['John Dashwood'], ['John Dashwood'], ['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret'], ['John Dashwood'], ['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret'], ['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret']]]"
"Q3","Well, then, _let_ something be done for them; but _that_ something
need not be three thousand pounds. Consider, that when the
money is once parted with, it never can return. Your sisters will
marry, and it will be gone for ever. If, indeed, it could be restored
to our poor little boy","['Well, then, _let_ something be done for them; but _that_ something\nneed not be three thousand pounds. Consider,', 'that when the\nmoney is once parted with, it never can return. Your sisters will\nmarry, and it will be gone for ever. If, indeed, it could be restored\nto our poor little boy']","[[11645, 11756], [11770, 11943]]","Fanny","['John Dashwood']","Anaphoric","she added","[['them'], []]","[[[11685, 11689]], []]","[[['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret']], []]"
"Q4","Why, to be sure, that would make
great difference. The time may come when Harry will regret that so
large a sum was parted with. If he should have a numerous family, for
instance, it would be a very convenient addition.","['Why, to be sure,', 'that would make\ngreat difference. The time may come when Harry will regret that so\nlarge a sum was parted with. If he should have a numerous family, for\ninstance, it would be a very convenient addition.']","[[11947, 11963], [11998, 12200]]","John Dashwood","['Fanny']","Anaphoric","said her husband","[[], ['Harry', 'he']]","[[], [[12055, 12060], [12113, 12115]]]","[[], [['Harry'], ['Harry']]]"
"Q5","To be sure it would.","['To be sure it would.']","[[12204, 12224]]","Fanny","['John Dashwood']","Implicit","nan","[[]]","[[]]","[[]]"
"Q6","Perhaps, then, it would be better for all parties, if the sum were
diminished one half. Five hundred pounds would be a prodigious increase
to their fortunes!","['Perhaps, then, it would be better for all parties, if the sum were\ndiminished one half. Five hundred pounds would be a prodigious increase\nto their fortunes!']","[[12228, 12385]]","John Dashwood","['Fanny']","Implicit","nan","[['their']]","[[[12370, 12375]]]","[[['Marianne', 'Elinor', 'Margaret']]]"
"Q7","Oh! beyond anything great! What brother on earth would do half so much
for his sisters, even if _really_ his sisters! And as it is only half
blood! But you have such a generous spirit!","['Oh! beyond anything great! What brother on earth would do half so much\nfor his sisters, even if _really_ his sisters! And as it is only half\nblood! But you have such a generous spirit!']","[[12389, 12573]]","Fanny","['John Dashwood']","Implicit","nan","[['his', 'his', 'you']]","[[[12464, 12467], [12494, 12497], [12541, 12544]]]","[[['John Dashwood'], ['John Dashwood'], ['John Dashwood']]]"
"Q8","I would not wish to do any thing mean, One had rather,
on such occasions, do too much than too little. No one, at least, can
think I have not done enough for them: even themselves, they can hardly
expect more.","['I would not wish to do any thing mean,', 'One had rather,\non such occasions, do too much than too little. No one, at least, can\nthink I have not done enough for them: even themselves, they can hardly\nexpect more.']","[[12577, 12615], [12630, 12800]]","John Dashwood","['Fanny']","Anaphoric","he replied","[[], ['them', 'they']]","[[], [[12749, 12753], [12772, 12776]]]","[[], [['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret'], ['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret']]]"
"Q9","There is no knowing what _they_ may expect, but we
are not to think of their expectations: the question is, what you can
afford to do.","['There is no knowing what _they_ may expect,', 'but we\nare not to think of their expectations: the question is, what you can\nafford to do.']","[[12804, 12847], [12865, 12955]]","Fanny","['John Dashwood']","Anaphoric","said the lady","[['they'], ['their', 'you']]","[[[12830, 12834]], [[12892, 12897], [12934, 12937]]]","[[['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret']], [['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret'], ['John Dashwood']]]"
