Character ID,Main Name,Aliases,Gender,Category
0,Christine Nilsson,['Christine Nilsson'],X,minor
1,Count Olenski,['Count Olenski'],M,minor
2,Dad,['Dad'],X,minor
3,Dallas,{'Dallas'},M,intermediate
4,Dr. Bencomb,['Dr. Bencomb'],X,minor
5,Dr. Carver,"{'Dr. Carver', 'Dr. Agathon Carver'}",M,minor
6,Madame Olenska,"{'Ellen', 'The Countess Olenska', 'Madame Olenska', 'Countess Ellen Olenska', 'Ellen Olenska'}",F,major
7,Fanny,['Fanny'],X,minor
8,Gertrude Lefferts,['Gertrude Lefferts'],X,minor
9,Janey Archer,"{'Janey', 'Janey Archer'}",F,intermediate
10,Julius Beaufort,"{'Beaufort', 'Julius Beaufort'}",M,minor
11,Lawrence Lefferts,"{'Lawrence Lefferts', 'Lefferts'}",M,minor
12,Luyden,['Luyden'],X,minor
13,Luydens,['Luydens'],X,minor
14,M. Riviere,{'M. Riviere'},M,intermediate
15,Miss Welland,"{'Miss Welland', 'May Wellend'}",F,major
16,Miss Blenker,{'Miss Blenker'},F,minor
17,Miss Sophy Jackson,"{'Miss Jackson', 'Miss Sophy Jackson', 'Sophy Jackson'}",F,minor
18,Monsieur,['Monsieur'],X,minor
19,Mr. Archer,['Mr. Archer'],M,minor
20,Mr. Letterblair,{'Mr. Letterblair'},M,intermediate
21,Mr. Merry,{'Mr. Merry'},M,minor
22,Mr. Sillerton Jackson,"{'Mr. Sillerton Jackson', 'Jackson', 'Mr. Jackson', 'Sillerton Jackson'}",M,intermediate
23,Mr. Van Der Luyden,"{'Mr. Henry Van Der Luyden', 'Mr. Van Der Luyden', 'Henry'}",M,intermediate
24,Mr. Welland,"{'Mr. Welland', 'Papa'}",M,minor
25,Mrs. Adeline Archer,"{'Mrs. Archer', 'Mrs. Adeline Archer', 'Adeline'}",F,intermediate
26,Mrs. Augusta Welland,"{'Mrs. Welland', 'Mrs. Augusta Welland', 'Mamma'}",F,minor
27,Mrs. Beaufort,['Mrs. Beaufort'],F,minor
28,Mrs. Chivers,['Mrs. Chivers'],F,minor
29,Mrs. Lemuel Struthers,['Mrs. Lemuel Struthers'],F,minor
30,Mrs. Lovell Mingott,"{'Lovell Mingott', 'Mrs. Lovell Mingott'}",F,minor
31,Mrs. Merry,['Mrs. Merry'],F,minor
32,Mrs. Van Der Luyden,"{'Mrs. Louisa Van Der Luyden', 'Mrs. Henry Van Der Luyden', 'Mrs. Van Der Luyden'}",F,minor
33,Nastasia,{'Nastasia'},F,minor
34,Ned Winsett,"{'Ned Winsett', 'Winsett'}",M,minor
35,Newland Archer,"{'Newland', 'Newland Archer', 'Archer'}",M,major
36,Mrs. Manson Mingott,"{'Granny', 'Mrs. Manson Mingott', 'Old Mrs. Mingott', 'Mrs. Mingott', 'Catherine Spicer Mingott', 'Old Catherine'}",F,intermediate
37,Reggie Chivers,"{'Mr. Chivers', 'Reggie Chivers'}",M,minor
38,The Ancestress,['The Ancestress'],X,minor
39,The Butler,{'The Butler'},M,minor
40,The Coachman,"{'The Coachman', 'The Emissary'}",M,minor
41,The Duke Of St. Austrey,"{'The Duke Of St. Austrey', 'The Duke', 'Duke'}",M,minor
42,The Governor Of New York,['The Governor Of New York'],X,minor
43,The Marchioness,"{'Medora', 'The Marchioness', 'Marchioness Manson', 'Aunt Medora', 'Medora Manson', 'Mrs. Manson'}",F,intermediate
44,The Rector,{'The Rector'},M,minor
45,The Writer,['The Writer'],X,minor
46,Young Mr. Newland,['Young Mr. Newland'],M,minor
47,Young Mrs. Newland,['Young Mrs. Newland'],F,minor
48,Young Thorley,"{'Thorley', 'Young Thorley'}",M,minor
49,Young Van Der Luyden,{'Young Van Der Luyden'},M,minor
50,_group,['_group'],X,minor
51,_unknowable,['_unknowable'],X,minor
52,Catherine,['Catherine'],X,minor
53,Mrs. Struthers,['Mrs. Struthers'],F,minor
54,The Marchioness Manson,['The Marchioness Manson'],X,minor
