"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","The darling! She doesn't even guess what
it's all about.","['The darling!', ""She doesn't even guess what\nit's all about.""]","[[6693, 6705], [6807, 6850]]","Newland Archer","[]","Explicit","thought Newland Archer","[['The darling'], ['She']]","[[[6693, 6704]], [[6807, 6810]]]","[[['May Wellend']], [['May Wellend']]]"
"Q1","We'll
read Faust together ... by the Italian lakes ...","[""We'll\nread Faust together ... by the Italian lakes ...""]","[[7036, 7090]]","Newland Archer","[]","Anaphoric","he thought","[['We']]","[[[7036, 7038]]]","[[['May Wellend', 'Newland Archer']]]"
"Q2","Well--upon my soul!","['Well--upon my soul!']","[[9418, 9437]]","Lawrence Lefferts","['Newland Archer', 'Mr. Sillerton Jackson']","Explicit","exclaimed Lawrence Lefferts","[[]]","[[]]","[[]]"
"Q3","My God!","['My God!']","[[10418, 10425]]","Lawrence Lefferts","['Newland Archer', 'Mr. Sillerton Jackson']","Anaphoric","he said","[[]]","[[]]","[[]]"
"Q4","I didn't think the Mingotts would have tried
it on.","[""I didn't think the Mingotts would have tried\nit on.""]","[[14069, 14120]]","Mr. Sillerton Jackson","['Lawrence Lefferts']","Anaphoric","he gave his moustache a thoughtful twist and said","[[]]","[[]]","[[]]"
"Q5","What's the use of
two good cooks in one family, now that I've married the girls and can't
eat sauces?","[""What's the use of\ntwo good cooks in one family, now that I've married the girls and can't\neat sauces?""]","[[19377, 19478]]","Mrs. Manson Mingott","['_unknowable']","Anaphoric","she used to say","[[]]","[[]]","[[]]"
"Q6","After all, after
all, just WHAT happened?","['After all,', 'after\nall, just WHAT happened?']","[[20709, 20719], [20836, 20866]]","Young Thorley","['_unknowable']","Anaphoric","he heard one of the younger men begin","[[], []]","[[], []]","[[], []]"
"Q7","He's an awful brute, isn't he?","[""He's an awful brute, isn't he?""]","[[20923, 20953]]","Young Thorley","['_unknowable']","Explicit","continued the young enquirer a candid Thorley","[['He', 'he']]","[[[20923, 20925], [20950, 20952]]]","[[['Ellen Olenska'], ['Ellen Olenska']]]"
"Q8","The very worst; I knew him at Nice, A half-paralysed white sneering fellow--rather handsome
head, but eyes with a lot of lashes.  Well, I'll tell you the sort:
when he wasn't with women he was collecting china.  Paying any price
for both, I understand.","['The very worst; I knew him at Nice,', ""A half-paralysed white sneering fellow--rather handsome\nhead, but eyes with a lot of lashes.  Well, I'll tell you the sort:\nwhen he wasn't with women he was collecting china.  Paying any price\nfor both, I understand.""]","[[21076, 21111], [21154, 21370]]","Lawrence Lefferts","['Mr. Sillerton Jackson', 'Young Thorley']","Explicit","said Lawrence Lefferts","[['him'], ['you', 'he', 'he']]","[[[21099, 21102]], [[21264, 21267], [21283, 21285], [21304, 21306]]]","[[['Count Olenski']], [['Young Thorley'], ['Count Olenski'], ['Count Olenski']]]"
"Q9","Well,
then----?","['Well,\nthen----?']","[[21431, 21446]]","Young Thorley","['Lawrence Lefferts', 'Mr. Sillerton Jackson']","Anaphoric","the young champion said","[[]]","[[]]","[[]]"
"Q10","Well, then; she bolted with his secretary.","['Well, then; she bolted with his secretary.']","[[21450, 21492]]","Lawrence Lefferts","['Mr. Sillerton Jackson', 'Young Thorley']","Implicit","nan","[['she', 'his']]","[[[21462, 21465], [21478, 21481]]]","[[['Ellen Olenska'], ['Count Olenski']]]"
"Q11","Oh, I see.","['Oh, I see.']","[[21496, 21506]]","Young Thorley","['Lawrence Lefferts', 'Mr. Sillerton Jackson']","Implicit","nan","[[]]","[[]]","[[]]"
