"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","What folly! to bathe at such an hour in such heat!","['What folly! to bathe at such an hour in such heat!']","[[3469, 3519]]","Leonce Pontellier","['Edna Pontellier', 'Robert Lebrun']","Explicit","exclaimed Mr Pontellier","[[]]","[[]]","[[]]"
"Q1","You are burnt beyond recognition,","['You are burnt beyond recognition,']","[[3637, 3670]]","Leonce Pontellier","['Edna Pontellier', 'Robert Lebrun']","Anaphoric","he added","[['You']]","[[[3637, 3640]]]","[[['Edna Pontellier']]]"
"Q2","What is it?","['What is it?']","[[4327, 4338]]","Leonce Pontellier","['Edna Pontellier', 'Robert Lebrun']","Explicit","asked Pontellier","[[]]","[[]]","[[]]"
"Q3","Come go along, Lebrun,","['Come go along, Lebrun,']","[[4741, 4763]]","Leonce Pontellier","['Edna Pontellier', 'Robert Lebrun']","Anaphoric","he proposed to Robert","[['Lebrun']]","[[[4756, 4762]]]","[[['Robert Lebrun']]]"
"Q4","Well, send him about his business when he bores you, Edna,","['Well, send him about his business when he bores you, Edna,']","[[4892, 4950]]","Leonce Pontellier","['Edna Pontellier', 'Robert Lebrun']","Anaphoric","instructed her husband","[['him', 'his', 'he', 'you', 'Edna']]","[[[4903, 4906], [4913, 4916], [4931, 4933], [4940, 4943], [4945, 4949]]]","[[['Robert Lebrun'], ['Robert Lebrun'], ['Robert Lebrun'], ['Edna Pontellier'], ['Edna Pontellier']]]"
"Q5","Here, take the umbrella,","['Here, take the umbrella,']","[[5002, 5026]]","Edna Pontellier","['Leonce Pontellier', 'Robert Lebrun']","Anaphoric","she exclaimed","[[]]","[[]]","[[]]"
"Q6","Coming back to dinner?","['Coming back to dinner?']","[[5160, 5182]]","Edna Pontellier","['Leonce Pontellier', 'Robert Lebrun']","Anaphoric","his wife called after him","[[]]","[[]]","[[]]"
"Q7","I see L once isn't coming back,","[""I see L once isn't coming back,""]","[[8887, 8918]]","Edna Pontellier","['Robert Lebrun']","Anaphoric","she said","[['L once']]","[[[8893, 8899]]]","[[['Leonce Pontellier']]]"
"Q8","It will buy a handsome wedding present for Sister Janet!","['It will buy a handsome wedding present for Sister Janet!']","[[14479, 14535]]","Edna Pontellier","['Leonce Pontellier']","Anaphoric","she exclaimed","[[]]","[[]]","[[]]"
"Q9","Oh! we'll treat Sister Janet better than that, my dear,","[""Oh! we'll treat Sister Janet better than that, my dear,""]","[[14610, 14665]]","Leonce Pontellier","['Edna Pontellier']","Anaphoric","he laughed","[['we', 'my dear']]","[[[14614, 14616], [14657, 14664]]]","[[['Leonce Pontellier', 'Edna Pontellier'], ['Edna Pontellier']]]"
"Q10","Could any one fathom the cruelty beneath that fair exterior? She knew that I adored her once, and she let me adore her. It
was","['Could any one fathom the cruelty beneath that fair exterior?', 'She knew that I adored her once, and she let me adore her. It\nwas']","[[23153, 23213], [23233, 23298]]","Robert Lebrun","['Edna Pontellier', 'Madame Ratignolle']","Explicit","murmured Robert","[[], ['She', 'her', 'she', 'her']]","[[], [[23233, 23236], [23256, 23259], [23270, 23273], [23287, 23290]]]","[[], [['Madame Ratignolle'], ['Madame Ratignolle'], ['Madame Ratignolle'], ['Madame Ratignolle']]]"
"Q11","_Par exemple!_ I never had to ask. You were always there under my
feet, like a troublesome cat.","['_Par exemple!_ I never had to ask. You were always there under my\nfeet, like a troublesome cat.']","[[23473, 23568]]","Madame Ratignolle","['Edna Pontellier', 'Robert Lebrun']","Implicit","nan","[['You']]","[[[23508, 23511]]]","[[['Robert Lebrun']]]"
"Q12","You mean like an adoring dog. And just as soon as Ratignolle appeared
on the scene, then it _was_ like a dog.","['You mean like an adoring dog. And just as soon as Ratignolle appeared\non the scene, then it _was_ like a dog.']","[[23572, 23681]]","Robert Lebrun","['Edna Pontellier', 'Madame Ratignolle']","Implicit","nan","[['You', 'Ratignolle']]","[[[23572, 23575], [23622, 23632]]]","[[['Madame Ratignolle'], ['Madame Ratignolle']]]"
"Q13","Perhaps I feared to make Alphonse jealous,","['Perhaps I feared to make Alphonse jealous,']","[[23719, 23761]]","Madame Ratignolle","['Edna Pontellier', 'Robert Lebrun']","Anaphoric","she interjoined","[[]]","[[]]","[[]]"
"Q14","_Blagueur farceur gros b te, va!_","['_Blagueur farceur gros b te, va!_']","[[24325, 24358]]","Madame Ratignolle","['Edna Pontellier', 'Robert Lebrun']","Anaphoric","the lady at the needle kept up a little running contemptuous comment","[[]]","[[]]","[[]]"
