Character ID,Main Name,Aliases,Gender,Category
0,A Certain Jew Of Frankfurt,{'A Certain Jew Of Frankfurt'},M,minor
1,A Grey-headed Old Man,{'A Grey-headed Old Man'},M,minor
2,A Man,{'A Man'},M,minor
3,"A Modestly, Plainly Dressed Lady","{'A Modestly, Plainly Dressed Lady'}",F,minor
4,Alexis Ivanovitch,"{'Alexis Ivanovitch', '_narr'}",M,major
5,Antonida Vassilievna Tarassevitcha,"{'Antonida Vassilievna Tarassevitcha', 'Grandmother', 'Antonida Vassilievna', 'The Grandmother', 'Madame'}",F,major
6,Baroness Burmergelm,['Baroness Burmergelm'],X,minor
7,Mlle. Blanche,"{'Mlle. Blanche', 'Blanche'}",F,intermediate
8,Marqis De Griers,"{'De Griers', 'Marquis Des Grieux', 'Monsieur Le Comte', 'The Frenchman', 'Monsieur De Griers', 'Marqis De Griers'}",M,intermediate
9,Martha,{'Martha'},F,minor
10,Mr. Astley,{'Mr. Astley'},M,intermediate
11,One Jew,{'One Jew'},U,minor
12,Polina Alexandrovna,"{'Mlle. Polina', 'Polina', 'Polina Alexandrovna'}",F,major
13,Potapitch,{'Potapitch'},M,minor
14,The Baron,"{'The Baron', 'Baron Burmergelm'}",M,minor
15,The Croupier,{'The Croupier'},U,minor
16,The General,"{'General', 'The General'}",M,intermediate
17,The Lacquey,{'The Lacquey'},M,minor
18,The Landlord,{'The Landlord'},M,minor
19,The Nursemaid,{'The Nursemaid'},F,minor
20,Theodosia,{'Theodosia'},F,minor
21,_unknowable,['_unknowable'],X,minor
22,_group,['_group'],X,minor
23,Cominges,['Cominges'],X,minor
24,Grandmamma,['Grandmamma'],X,minor
25,Monsignor,['Monsignor'],X,minor
26,Prascovia,['Prascovia'],X,minor
