"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","A fire, in the name of human
charity! A room and a fire!","['A fire,', 'in the name of human\ncharity! A room and a fire!']","[[673, 680], [693, 741]]","The Invisible Man","['Mrs. Hall']","Anaphoric","he cried","[[], []]","[[], []]","[[], []]"
"Q1","Can I take your hat and coat, sir? and give them a good dry in the kitchen?","['Can I take your hat and coat, sir?', 'and give them a good dry in the kitchen?']","[[1909, 1943], [1956, 1996]]","Mrs. Hall","['The Invisible Man']","Anaphoric","she said","[['your', 'sir'], []]","[[[1920, 1924], [1939, 1942]], []]","[[['The Invisible Man'], ['The Invisible Man']], []]"
"Q2","No, I prefer to
keep them on,","['No,', 'I prefer to\nkeep them on,']","[[2000, 2003], [2163, 2188]]","The Invisible Man","['Mrs. Hall']","Anaphoric","he said","[[], []]","[[], []]","[[], []]"
"Q3","Very well, sir, _As_ you like. In a bit the room will be
warmer.","['Very well, sir,', '_As_ you like. In a bit the room will be\nwarmer.']","[[2371, 2386], [2399, 2447]]","Mrs. Hall","['The Invisible Man']","Anaphoric","she said","[['sir'], ['you']]","[[[2382, 2385]], [[2404, 2407]]]","[[['The Invisible Man']], [['The Invisible Man']]]"
"Q4","Your lunch is served, sir.","['Your lunch is served, sir.']","[[2946, 2972]]","Mrs. Hall","['The Invisible Man']","Anaphoric","She put down the eggs and bacon with considerable emphasis and called rather than said to him","[['Your', 'sir']]","[[[2946, 2950], [2968, 2971]]]","[[['The Invisible Man'], ['The Invisible Man']]]"
"Q5","Thank you,","['Thank you,']","[[2976, 2986]]","The Invisible Man","['Mrs. Hall']","Anaphoric","he said","[['you']]","[[[2982, 2985]]]","[[['Mrs. Hall']]]"
"Q6","That girl! There! I
clean forgot it. It s her being so long!","['That girl!', 'There! I\nclean forgot it. It s her being so long!']","[[3321, 3331], [3344, 3393]]","Mrs. Hall","[]","Anaphoric","she said","[[], []]","[[], []]","[[], []]"
"Q7","I suppose I may have them
to dry now,","['I suppose I may have them\nto dry now,']","[[4287, 4324]]","Mrs. Hall","['The Invisible Man']","Anaphoric","she said","[[]]","[[]]","[[]]"
"Q8","Leave the hat,","['Leave the hat,']","[[4372, 4386]]","The Invisible Man","['Mrs. Hall']","Anaphoric","said her visitor","[[]]","[[]]","[[]]"
"Q9","Leave the hat,","['Leave the hat,']","[[5604, 5618]]","The Invisible Man","['Mrs. Hall']","Anaphoric","he said","[[]]","[[]]","[[]]"
