"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","The mater will be delighted to see you again   after all those years,","['The mater will be delighted to see you again   after all those years,']","[[1217, 1286]]","John Cavendish","['Mr. Hastings']","Anaphoric","he added","[['The mater', 'you']]","[[[1217, 1226], [1252, 1255]]]","[[['Mrs. Inglethorp'], ['Mr. Hastings']]]"
"Q1","Your mother keeps well?","['Your mother keeps well?']","[[1300, 1323]]","Mr. Hastings","['John Cavendish']","Anaphoric","I asked","[['Your mother']]","[[[1300, 1311]]]","[[['Mrs. Inglethorp']]]"
"Q2","Oh, yes. I suppose you know that she has married again?","['Oh, yes. I suppose you know that she has married again?']","[[1336, 1391]]","John Cavendish","['Mr. Hastings']","Implicit","nan","[['you', 'she']]","[[[1355, 1358], [1369, 1372]]]","[[['Mr. Hastings'], ['Mrs. Inglethorp']]]"
"Q3","Rotten little bounder too! I can tell you,
Hastings, it's making life jolly difficult for us. As for Evie   you
remember Evie?","['Rotten little bounder too!', ""I can tell you,\nHastings, it's making life jolly difficult for us. As for Evie   you\nremember Evie?""]","[[3292, 3318], [3339, 3438]]","John Cavendish","['Mr. Hastings']","Anaphoric","he said","[['Rotten little bounder'], ['you', 'Hastings', 'us', 'Evie', 'you', 'Evie']]","[[[3292, 3313]], [[3350, 3353], [3355, 3363], [3402, 3404], [3413, 3417], [3420, 3423], [3433, 3437]]]","[[['Mr. Inglethorp']], [['Mr. Hastings'], ['Mr. Hastings'], ['Mary Cavendish', 'John Cavendish'], ['Evelyn Howard'], ['Mr. Hastings'], ['Evelyn Howard']]]"
"Q4","No.","['No.']","[[3442, 3445]]","Mr. Hastings","['John Cavendish']","Implicit","nan","[[]]","[[]]","[[]]"
"Q5","Oh, I suppose she was after your time. She's the mater's factotum,
companion, Jack of all trades! A great sport   old Evie! Not precisely
young and beautiful, but as game as they make them.","[""Oh, I suppose she was after your time. She's the mater's factotum,\ncompanion, Jack of all trades! A great sport   old Evie! Not precisely\nyoung and beautiful, but as game as they make them.""]","[[3449, 3638]]","John Cavendish","['Mr. Hastings']","Implicit","nan","[['she', 'your', 'She', ""the mater's factotum,\ncompanion, Jack of all trades"", 'A great sport', 'old Evie']]","[[[3463, 3466], [3477, 3481], [3488, 3491], [3494, 3545], [3547, 3560], [3563, 3571]]]","[[['Evelyn Howard'], ['Mr. Hastings'], ['Evelyn Howard'], ['Evelyn Howard'], ['Evelyn Howard'], ['Evelyn Howard']]]"
"Q6","You were going to say      ?","['You were going to say      ?']","[[3642, 3670]]","Mr. Hastings","['John Cavendish']","Implicit","nan","[['You']]","[[[3642, 3645]]]","[[['John Cavendish']]]"
"Q7","Oh, this fellow! He turned up from nowhere, on the pretext of being a
second cousin or something of Evie's, though she didn't seem
particularly keen to acknowledge the relationship. The fellow is an
absolute outsider, anyone can see that. He's got a great black beard,
and wears patent leather boots in all weathers! But the mater cottoned
to him at once, took him on as secretary   you know how she's always
running a hundred societies?","[""Oh, this fellow! He turned up from nowhere, on the pretext of being a\nsecond cousin or something of Evie's, though she didn't seem\nparticularly keen to acknowledge the relationship. The fellow is an\nabsolute outsider, anyone can see that. He's got a great black beard,\nand wears patent leather boots in all weathers! But the mater cottoned\nto him at once, took him on as secretary   you know how she's always\nrunning a hundred societies?""]","[[3674, 4111]]","John Cavendish","['Mr. Hastings']","Implicit","nan","[['this fellow', 'He', ""a\nsecond cousin or something of Evie's"", 'Evie', 'she', 'The fellow', 'He', 'the mater', 'him', 'him', 'you', 'she']]","[[[3678, 3689], [3691, 3693], [3742, 3780], [3774, 3778], [3789, 3792], [3856, 3866], [3913, 3915], [3995, 4004], [4017, 4020], [4035, 4038], [4057, 4060], [4070, 4073]]]","[[['Alfred Inglethorp'], ['Alfred Inglethorp'], ['Mr. Inglethorp'], ['Evie'], ['Evelyn Howard'], ['Alfred Inglethorp'], ['Alfred Inglethorp'], ['Mrs. Inglethorp'], ['Alfred Inglethorp'], ['Alfred Inglethorp'], ['Mr. Hastings'], ['Mrs. Inglethorp']]]"
"Q8","Well, of course the war has turned the hundreds into thousands. No
doubt the fellow was very useful to her. But you could have knocked us
all down with a feather when, three months ago, she suddenly announced
that she and Alfred were engaged! The fellow must be at least twenty
years younger than she is! It's simply bare-faced fortune hunting; but
there you are   she is her own mistress, and she's married him.","[""Well, of course the war has turned the hundreds into thousands. No\ndoubt the fellow was very useful to her. But you could have knocked us\nall down with a feather when, three months ago, she suddenly announced\nthat she and Alfred were engaged! The fellow must be at least twenty\nyears younger than she is! It's simply bare-faced fortune hunting; but\nthere you are   she is her own mistress, and she's married him.""]","[[4126, 4538]]","John Cavendish","['Mr. Hastings']","Implicit","nan","[['the fellow', 'her', 'you', 'us', 'she', 'she', 'Alfred', 'The fellow', 'she', 'you', 'she', 'her', 'she', 'him']]","[[[4199, 4209], [4229, 4232], [4238, 4241], [4261, 4263], [4312, 4315], [4340, 4343], [4348, 4354], [4369, 4379], [4423, 4426], [4481, 4484], [4491, 4494], [4498, 4501], [4520, 4523], [4534, 4537]]]","[[['Alfred Inglethorp'], ['Mrs. Inglethorp'], ['Mr. Hastings'], ['Mary Cavendish', 'John Cavendish', 'Evelyn Howard'], ['Mrs. Inglethorp'], ['Mrs. Inglethorp'], ['Alfred Inglethorp'], ['Alfred Inglethorp'], ['Mrs. Inglethorp'], ['Mr. Hastings'], ['Mrs. Inglethorp'], ['Mrs. Inglethorp'], ['Mrs. Inglethorp'], ['Alfred Inglethorp']]]"
"Q9","It must be a difficult situation for you all.","['It must be a difficult situation for you all.']","[[4542, 4587]]","Mr. Hastings","['John Cavendish']","Implicit","nan","[['you all']]","[[[4579, 4586]]]","[[['Evelyn Howard', 'John Cavendish', 'Mary Cavendish', 'Miss Murdoch']]]"
"Q10","Difficult! It's damnable!","[""Difficult! It's damnable!""]","[[4591, 4616]]","John Cavendish","['Mr. Hastings']","Implicit","nan","[[]]","[[]]","[[]]"
"Q11","Got a drop or two of petrol still, you see, Mainly
owing to the mater's activities.","['Got a drop or two of petrol still, you see,', ""Mainly\nowing to the mater's activities.""]","[[4910, 4953], [4969, 5008]]","John Cavendish","['Mr. Hastings']","Anaphoric","he remarked","[['you'], ['the mater']]","[[[4945, 4948]], [[4985, 4994]]]","[[['Mr. Hastings']], [['Mrs. Inglethorp']]]"
"Q12","I'm afraid you'll find it very quiet down here, Hastings.","[""I'm afraid you'll find it very quiet down here, Hastings.""]","[[5498, 5555]]","John Cavendish","['Mr. Hastings']","Explicit","John said","[['you', 'Hastings']]","[[[5509, 5512], [5546, 5554]]]","[[['Mr. Hastings'], ['Mr. Hastings']]]"
"Q13","My dear fellow, that's just what I want.","[""My dear fellow, that's just what I want.""]","[[5559, 5599]]","Mr. Hastings","['John Cavendish']","Implicit","nan","[['My dear fellow']]","[[[5559, 5573]]]","[[['John Cavendish']]]"
"Q14","Oh, it's pleasant enough if you want to lead the idle life. I drill
with the volunteers twice a week, and lend a hand at the farms. My wife
works regularly    on the land'. She is up at five every morning to milk,
and keeps at it steadily until lunchtime. It's a jolly good life taking
it all round   if it weren't for that fellow Alfred Inglethorp!","[""Oh, it's pleasant enough if you want to lead the idle life. I drill\nwith the volunteers twice a week, and lend a hand at the farms. My wife\nworks regularly    on the land'. She is up at five every morning to milk,\nand keeps at it steadily until lunchtime. It's a jolly good life taking\nit all round   if it weren't for that fellow Alfred Inglethorp!""]","[[5603, 5952]]","John Cavendish","['Mr. Hastings']","Implicit","nan","[['you', 'My wife', 'She', 'that fellow Alfred Inglethorp']]","[[[5631, 5634], [5735, 5742], [5776, 5779], [5922, 5951]]]","[[['Mr. Hastings'], ['Mary Cavendish'], ['Mary Cavendish'], ['Alfred Inglethorp']]]"
"Q15","I wonder if we've
time to pick up Cynthia. No, she'll have started from the hospital by
now.","[""I wonder if we've\ntime to pick up Cynthia. No, she'll have started from the hospital by\nnow.""]","[[6010, 6102]]","John Cavendish","['Mr. Hastings']","Implicit","nan","[['we', 'Cynthia', 'she']]","[[[6022, 6024], [6044, 6051], [6057, 6060]]]","[[['John Cavendish', 'Mr. Hastings'], ['Miss Murdoch'], ['Miss Murdoch']]]"
"Q16","Cynthia! That's not your wife?","[""Cynthia! That's not your wife?""]","[[6106, 6136]]","Mr. Hastings","['John Cavendish']","Implicit","nan","[['Cynthia']]","[[[6106, 6113]]]","[[['Miss Murdoch']]]"
