"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","Which is it to-day? morphine or cocaine?","['Which is it to-day?', 'morphine or cocaine?']","[[1475, 1494], [1506, 1526]]","Dr. Watson","['Mr. Sherlock Holmes']","Anaphoric","I asked","[[], []]","[[], []]","[[], []]"
"Q1","It is cocaine, a seven-per-cent. solution.
Would you care to try it?","['It is cocaine,', 'a seven-per-cent. solution.\nWould you care to try it?']","[[1613, 1627], [1639, 1692]]","Mr. Sherlock Holmes","['Dr. Watson']","Anaphoric","he said","[[], ['you']]","[[], [[1673, 1676]]]","[[], [['Dr. Watson']]]"
"Q2","No, indeed, My constitution has not got over
the Afghan campaign yet. I cannot afford to throw any extra strain upon
it.","['No, indeed,', 'My constitution has not got over\nthe Afghan campaign yet. I cannot afford to throw any extra strain upon\nit.']","[[1696, 1707], [1733, 1841]]","Dr. Watson","['Mr. Sherlock Holmes']","Anaphoric","I answered","[[], []]","[[], []]","[[], []]"
"Q3","Perhaps you are right, Watson, I
suppose that its influence is physically a bad one. I find it, however,
so transcendently stimulating and clarifying to the mind that its
secondary action is a matter of small moment.","['Perhaps you are right, Watson,', 'I\nsuppose that its influence is physically a bad one. I find it, however,\nso transcendently stimulating and clarifying to the mind that its\nsecondary action is a matter of small moment.']","[[1872, 1902], [1914, 2099]]","Mr. Sherlock Holmes","['Dr. Watson']","Anaphoric","he said","[['you', 'Watson'], []]","[[[1880, 1883], [1895, 1901]], []]","[[['Dr. Watson'], ['Dr. Watson']], []]"
"Q4","But consider! Count the cost! Your brain may, as
you say, be roused and excited, but it is a pathological and morbid
process, which involves increased tissue-change and may at last leave a
permanent weakness. You know, too, what a black reaction comes upon
you. Surely the game is hardly worth the candle. Why should you, for a
mere passing pleasure, risk the loss of those great powers with which
you have been endowed? Remember that I speak not only as one comrade to
another, but as a medical man to one for whose constitution he is to
some extent answerable.","['But consider!', 'Count the cost! Your brain may, as\nyou say, be roused and excited, but it is a pathological and morbid\nprocess, which involves increased tissue-change and may at last leave a\npermanent weakness. You know, too, what a black reaction comes upon\nyou. Surely the game is hardly worth the candle. Why should you, for a\nmere passing pleasure, risk the loss of those great powers with which\nyou have been endowed? Remember that I speak not only as one comrade to\nanother, but as a medical man to one for whose constitution he is to\nsome extent answerable.']","[[2103, 2116], [2138, 2686]]","Dr. Watson","['Mr. Sherlock Holmes']","Anaphoric","I said","[[], ['Your', 'you', 'You', 'you', 'you', 'you']]","[[], [[2154, 2158], [2173, 2176], [2333, 2336], [2381, 2384], [2441, 2444], [2522, 2525]]]","[[], [['Mr. Sherlock Holmes'], ['Mr. Sherlock Holmes'], ['Mr. Sherlock Holmes'], ['Mr. Sherlock Holmes'], ['Mr. Sherlock Holmes'], ['Mr. Sherlock Holmes']]]"
"Q5","My mind, rebels at stagnation. Give me problems, give me
work, give me the most abstruse cryptogram or the most intricate
analysis, and I am in my own proper atmosphere. I can dispense then
with artificial stimulants. But I abhor the dull routine of existence.
I crave for mental exaltation. That is why I have chosen my own
particular profession, or rather created it, for I am the only one in
the world.","['My mind,', 'rebels at stagnation. Give me problems, give me\nwork, give me the most abstruse cryptogram or the most intricate\nanalysis, and I am in my own proper atmosphere. I can dispense then\nwith artificial stimulants. But I abhor the dull routine of existence.\nI crave for mental exaltation. That is why I have chosen my own\nparticular profession, or rather created it, for I am the only one in\nthe world.']","[[2858, 2866], [2878, 3274]]","Mr. Sherlock Holmes","['Dr. Watson']","Anaphoric","he said","[[], []]","[[], []]","[[], []]"
"Q6","The only unofficial detective?","['The only unofficial detective?']","[[3278, 3308]]","Dr. Watson","['Mr. Sherlock Holmes']","Anaphoric","I said","[[]]","[[]]","[[]]"
"Q7","The only unofficial consulting detective, I am the last
and highest court of appeal in detection. When Gregson or Lestrade or
Athelney Jones are out of their depths which, by the way, is their
normal state the matter is laid before me. I examine the data, as an
expert, and pronounce a specialist s opinion. I claim no credit in such
cases. My name figures in no newspaper. The work itself, the pleasure
of finding a field for my peculiar powers, is my highest reward. But
you have yourself had some experience of my methods of work in the
Jefferson Hope case.","['The only unofficial consulting detective,', 'I am the last\nand highest court of appeal in detection. When Gregson or Lestrade or\nAthelney Jones are out of their depths which, by the way, is their\nnormal state the matter is laid before me. I examine the data, as an\nexpert, and pronounce a specialist s opinion. I claim no credit in such\ncases. My name figures in no newspaper. The work itself, the pleasure\nof finding a field for my peculiar powers, is my highest reward. But\nyou have yourself had some experience of my methods of work in the\nJefferson Hope case.']","[[3341, 3382], [3398, 3916]]","Mr. Sherlock Holmes","['Dr. Watson']","Anaphoric","he answered","[[], ['Athelney Jones', 'you']]","[[], [[3482, 3496], [3829, 3832]]]","[[], [['Mr. Athelney Jones'], ['Dr. Watson']]]"
"Q8","Yes, indeed, I was never so struck by anything in
my life. I even embodied it in a small brochure with the somewhat
fantastic title of  A Study in Scarlet.","['Yes, indeed,', 'I was never so struck by anything in\nmy life. I even embodied it in a small brochure with the somewhat\nfantastic title of  A Study in Scarlet.']","[[3920, 3932], [3954, 4097]]","Dr. Watson","['Mr. Sherlock Holmes']","Anaphoric","said I","[[], []]","[[], []]","[[], []]"
"Q9","I glanced over it, Honestly, I
cannot congratulate you upon it. Detection is, or ought to be, an exact
science, and should be treated in the same cold and unemotional manner.
You have attempted to tinge it with romanticism, which produces much
the same effect as if you worked a love-story or an elopement into the
fifth proposition of Euclid.","['I glanced over it,', 'Honestly, I\ncannot congratulate you upon it. Detection is, or ought to be, an exact\nscience, and should be treated in the same cold and unemotional manner.\nYou have attempted to tinge it with romanticism, which produces much\nthe same effect as if you worked a love-story or an elopement into the\nfifth proposition of Euclid.']","[[4126, 4144], [4156, 4480]]","Mr. Sherlock Holmes","['Dr. Watson']","Anaphoric","said he","[[], ['you', 'You', 'you']]","[[], [[4188, 4191], [4312, 4315], [4403, 4406]]]","[[], [['Dr. Watson'], ['Dr. Watson'], ['Dr. Watson']]]"
