"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","There is no
telling when Berry will be following my example and be taking a wife
unto himself.","['There is no\ntelling when Berry will be following my example and be taking a wife\nunto himself.']","[[1529, 1623]]","Maurice Oakley","[]","Anaphoric","he said","[['Berry', 'himself']]","[[[1554, 1559], [1615, 1622]]]","[[['Berry Hamilton'], ['Berry Hamilton']]]"
"Q1","It 's de p'opah
thing fu' a man what waits on quality to have quality mannahs an' to
waih quality clothes.","[""It 's de p'opah\nthing fu' a man what waits on quality to have quality mannahs an' to\nwaih quality clothes.""]","[[3431, 3537]]","Berry Hamilton","['Joe Hamilton', 'Fannie Hamilton']","Anaphoric","said he","[[]]","[[]]","[[]]"
"Q2","'T ain't no use to be a-humo'in' dat boy too much, Be'y, hit
sho' do mek' him biggety, an' a biggety po' niggah is a 'bomination
befo' de face of de Lawd; but I know 't ain't no use a-talkin' to you,
fu' you plum boun' up in dat Joe.","[""'T ain't no use to be a-humo'in' dat boy too much, Be'y,"", ""hit\nsho' do mek' him biggety, an' a biggety po' niggah is a 'bomination\nbefo' de face of de Lawd; but I know 't ain't no use a-talkin' to you,\nfu' you plum boun' up in dat Joe.""]","[[3541, 3597], [3678, 3854]]","Fannie Hamilton","['Berry Hamilton', 'Joe Hamilton']","Explicit","Fannie had replied","[['dat boy', ""Be'y""], ['him ', 'you', 'you', 'Joe']]","[[[3574, 3581], [3592, 3596]], [[3695, 3699], [3816, 3819], [3825, 3828], [3850, 3853]]]","[[['Joe Hamilton'], ['Berry Hamilton']], [['Joe Hamilton'], ['Berry Hamilton'], ['Berry Hamilton'], ['Joe Hamilton']]]"
"Q3","Five years does seem a long while, but if a man
accomplishes anything, after all, it seems only a short time to look
back upon.","['Five years does seem a long while,', 'but if a man\naccomplishes anything, after all, it seems only a short time to look\nback upon.']","[[11829, 11863], [11886, 11978]]","Francis Oakley","['Claire Lessing', 'Esterton', 'An Old Military Man']","Explicit","Francis was saying","[[], []]","[[], []]","[[], []]"
"Q4","All time is short to look back upon. It is the looking forward to it
that counts. It does n't, though, with a man, I suppose. He's doing
something all the while.","[""All time is short to look back upon. It is the looking forward to it\nthat counts. It does n't, though, with a man, I suppose. He's doing\nsomething all the while.""]","[[11982, 12143]]","Claire Lessing","['Francis Oakley', 'Esterton', 'An Old Military Man']","Implicit","nan","[['He']]","[[[12108, 12110]]]","[[['Francis Oakley']]]"
"Q5","Yes, a man is always doing something, even if only waiting; but
waiting is such unheroic business.","['Yes, a man is always doing something, even if only waiting; but\nwaiting is such unheroic business.']","[[12147, 12245]]","Francis Oakley","['Claire Lessing', 'Esterton', 'An Old Military Man']","Implicit","nan","[[]]","[[]]","[[]]"
"Q6","That is the part that usually falls to a woman's lot. I have no doubt
that some dark-eyed mademoiselle is waiting for you now.","[""That is the part that usually falls to a woman's lot. I have no doubt\nthat some dark-eyed mademoiselle is waiting for you now.""]","[[12249, 12375]]","Claire Lessing","['Francis Oakley', 'Esterton', 'An Old Military Man']","Implicit","nan","[['that some dark-eyed mademoiselle', 'you']]","[[[12319, 12351], [12367, 12370]]]","[[['Claire Lessing'], ['Francis Oakley']]]"
"Q7","Oh, Miss Claire, you will
not dare to talk with such little awe to our friend when he comes back
with his ribbons and his medals. Why, we shall all have to bow to you,
Frank!","['Oh, Miss Claire, you will\nnot dare to talk with such little awe to our friend when he comes back\nwith his ribbons and his medals. Why, we shall all have to bow to you,\nFrank!']","[[12936, 13110]]","Esterton","['Claire Lessing', 'An Old Military Man', 'Francis Oakley']","Anaphoric","Someone cried gayly across the table to her","[['Miss Claire', 'you', 'our friend', 'he', 'his', 'his', 'we', 'you', 'Frank']]","[[[12940, 12951], [12953, 12956], [13003, 13013], [13019, 13021], [13038, 13041], [13054, 13057], [13071, 13073], [13099, 13102], [13104, 13109]]]","[[['Claire Lessing'], ['Claire Lessing'], ['Francis Oakley'], ['Francis Oakley'], ['Francis Oakley'], ['Francis Oakley'], ['Claire Lessing', 'Esterton'], ['Francis Oakley'], ['Francis Oakley']]]"
"Q8","You 're wronging me, Esterton, No foreign decoration
could ever be to me as much as the flower of approval from the fair
women of my own State.","[""You 're wronging me, Esterton,"", 'No foreign decoration\ncould ever be to me as much as the flower of approval from the fair\nwomen of my own State.']","[[13114, 13144], [13161, 13273]]","Francis Oakley","['Claire Lessing', 'Esterton', 'An Old Military Man']","Explicit","said Francis","[['You', 'Esterton'], []]","[[[13114, 13117], [13135, 13143]], []]","[[['Esterton'], ['Esterton']], []]"
"Q9","Trust artists and poets to pay pretty compliments, and this wily friend
of mine pays his at my expense.","['Trust artists and poets to pay pretty compliments, and this wily friend\nof mine pays his at my expense.']","[[13304, 13407]]","Esterton","['Claire Lessing', 'An Old Military Man', 'Francis Oakley']","Implicit","nan","[['this wily friend\nof mine', 'his']]","[[[13359, 13383], [13389, 13392]]]","[[['Francis Oakley'], ['Francis Oakley']]]"
"Q10","A good bit of generalship, that, Frank, Esterton opened the breach and you at once galloped in. That 's the
highest art of war.","['A good bit of generalship, that, Frank,', ""Esterton opened the breach and you at once galloped in. That 's the\nhighest art of war.""]","[[13411, 13450], [13483, 13570]]","An Old Military Man","['Claire Lessing', 'Esterton', 'Francis Oakley']","Anaphoric","an old military man broke in","[['Frank'], ['Esterton', 'you']]","[[[13444, 13449]], [[13483, 13491], [13514, 13517]]]","[[['Francis Oakley']], [['Esterton'], ['Francis Oakley']]]"
"Q11","What is it, Francis?","['What is it, Francis?']","[[14586, 14606]]","Maurice Oakley","['Francis Oakley']","Anaphoric","he questioned","[['Francis']]","[[[14598, 14605]]]","[[['Francis Oakley']]]"
