"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q0","I know a girl in Strasbourg who can show us the town,","['I know a girl in Strasbourg who can show us the town,']","[[6412, 6465]]","Jake Barnes","['Frances Clyne', 'Robert Cohn']","Anaphoric","I said","[['us']]","[[[6453, 6455]]]","[[['Jake Barnes', 'Robert Cohn']]]"
"Q1","She's been there two years and knows everything there is to know
about the town. She's a swell girl.","[""She's been there two years and knows everything there is to know\nabout the town. She's a swell girl.""]","[[6554, 6654]]","Jake Barnes","['Frances Clyne', 'Robert Cohn']","Anaphoric","I thought it was accidental and went on","[[]]","[[]]","[[]]"
"Q2","Hell, why go to Strasbourg? We could go up to Bruges, or to
the Ardennes.","['Hell,', 'why go to Strasbourg? We could go up to Bruges, or to\nthe Ardennes.']","[[6777, 6782], [6793, 6860]]","Jake Barnes","['Frances Clyne', 'Robert Cohn']","Anaphoric","I said","[[], ['We']]","[[], [[6815, 6817]]]","[[], [['Jake Barnes', 'Robert Cohn']]]"
"Q3","For God's sake, why did you say that about that
girl in Strasbourg for? Didn't you see Frances?","[""For God's sake,"", ""why did you say that about that\ngirl in Strasbourg for? Didn't you see Frances?""]","[[7015, 7030], [7042, 7121]]","Robert Cohn","['Jake Barnes']","Anaphoric","he said","[[], ['you', 'you', 'Frances']]","[[], [[7050, 7053], [7105, 7108], [7113, 7120]]]","[[], [['Jake Barnes'], ['Jake Barnes'], ['Frances Clyne']]]"
"Q4","No, why should I? If I know an American girl that lives in Strasbourg
what the hell is it to Frances?","['No, why should I? If I know an American girl that lives in Strasbourg\nwhat the hell is it to Frances?']","[[7125, 7226]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[['Frances']]","[[[7218, 7225]]]","[[['Frances Clyne']]]"
"Q5","It doesn't make any difference. Any girl. I couldn't go, that would be
all.","[""It doesn't make any difference. Any girl. I couldn't go, that would be\nall.""]","[[7230, 7305]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
"Q6","Don't be silly.","[""Don't be silly.""]","[[7309, 7324]]","Jake Barnes","['Robert Cohn']","Implicit","nan","[[]]","[[]]","[[]]"
"Q7","You don't know Frances. Any girl at all. Didn't you see the way she
looked?","[""You don't know Frances. Any girl at all. Didn't you see the way she\nlooked?""]","[[7328, 7403]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[['You', 'Frances', 'you', 'she']]","[[[7328, 7331], [7343, 7350], [7376, 7379], [7392, 7395]]]","[[['Jake Barnes'], ['Frances Clyne'], ['Jake Barnes'], ['Frances Clyne']]]"
"Q8","Oh, well, let's go to Senlis.","['Oh, well,', ""let's go to Senlis.""]","[[7407, 7416], [7427, 7446]]","Jake Barnes","['Robert Cohn']","Anaphoric","I said","[[], [""'s""]]","[[], [[7430, 7432]]]","[[], [['Jake Barnes', 'Robert Cohn']]]"
"Q9","Don't get sore.","[""Don't get sore.""]","[[7450, 7465]]","Robert Cohn","['Jake Barnes']","Implicit","nan","[[]]","[[]]","[[]]"
