quoteID,quoteText,subQuotationList,quoteByteSpans,speaker,addressees,quoteType,referringExpression,mentionTextsList,mentionSpansList,mentionEntitiesList
Q0,"Quite an ovation, They ll take us for royalty. Oh, Mr. Kingcroft, get us
foot-warmers.","['Quite an ovation,', 'They ll take us for royalty. Oh, Mr. Kingcroft, get us\nfoot-warmers.']","[[473, 490], [547, 615]]",Lilia,"['Mr. Kingcroft', 'Mrs. Theobald', 'Irma', 'Harriet', 'Mr. Herriton', 'Mrs. Herriton']",Anaphoric,she cried,"[[], ['us', 'Mr. Kingcroft', 'us']]","[[], [[560, 562], [580, 593], [599, 601]]]","[[], [['Lilia'], ['Mr. Kingcroft'], ['Lilia']]]"
Q1,"Remember, that it is only by going off the
track that you get to know the country. See the little towns--Gubbio,
Pienza, Cortona, San Gemignano, Monteriano. And don t, let me beg
you, go with that awful tourist idea that Italy s only a museum of
antiquities and art. Love and understand the Italians, for the people
are more marvellous than the land.","['Remember,', 'that it is only by going off the\ntrack that you get to know the country. See the little towns--Gubbio,\nPienza, Cortona, San Gemignano, Monteriano. And don t, let me beg\nyou, go with that awful tourist idea that Italy s only a museum of\nantiquities and art. Love and understand the Italians, for the people\nare more marvellous than the land.']","[[839, 848], [865, 1205]]",Mr. Herriton,"['Mrs. Theobald', 'Lilia', 'Irma', 'Harriet', 'Mrs. Herriton']",Anaphoric,he concluded,"[[], ['you', 'you']]","[[], [[909, 912], [1034, 1037]]]","[[], [['Lilia'], ['Lilia']]]"
Q2,"How I wish you were coming, Philip,","['How I wish you were coming, Philip,']","[[1209, 1244]]",Lilia,"['Mrs. Theobald', 'Irma', 'Harriet', 'Mr. Herriton', 'Mrs. Herriton']",Anaphoric,she said,"[['you', 'Philip']]","[[[1220, 1223], [1237, 1243]]]","[[['Mr. Herriton'], ['Mr. Herriton']]]"
Q3,I wish I were.,['I wish I were.'],"[[1326, 1340]]",Mr. Herriton,"['Mrs. Theobald', 'Lilia', 'Irma', 'Harriet', 'Mrs. Herriton']",Implicit,,[[]],[[]],[[]]
Q4,"Good-bye, dear every one. What a whirl!","['Good-bye, dear every one. What a whirl!']","[[1622, 1661]]",Lilia,"['Mrs. Theobald', 'Irma', 'Harriet', 'Mr. Herriton', 'Mrs. Herriton']",Implicit,,[[]],[[]],[[]]
Q5,"Good-bye, darling. Mind you re always good, and do what Granny tells
you.","['Good-bye, darling. Mind you re always good, and do what Granny tells\nyou.']","[[1768, 1841]]",Lilia,"['Mrs. Theobald', 'Irma', 'Harriet', 'Mr. Herriton', 'Mrs. Herriton']",Implicit,,"[['darling', 'you re', 'you']]","[[[1778, 1785], [1792, 1798], [1837, 1840]]]","[[['Irma'], ['Irma'], ['Irma']]]"
Q6,"I ll do
my best.",['I ll do\nmy best.'],"[[2016, 2032]]",Irma,"['Mrs. Theobald', 'Lilia', 'Harriet', 'Mr. Herriton', 'Mrs. Herriton']",Explicit,Irma lifted a serious face to be kissed and said,[[]],[[]],[[]]
Q7,"She is sure to be good,","['She is sure to be good,']","[[2036, 2059]]",Mrs. Herriton,"['Mrs. Theobald', 'Lilia', 'Irma', 'Harriet', 'Mr. Herriton']",Explicit,said Mrs Herriton,[['She']],"[[[2036, 2039]]]",[[['Irma']]]
Q8,"Caroline, my Caroline! Jump in, or your chaperon will go off without
you.","['Caroline, my Caroline! Jump in, or your chaperon will go off without\nyou.']","[[2303, 2376]]",Lilia,"['Caroline Abbott', 'Mrs. Theobald', 'Irma', 'Harriet', 'Mr. Herriton', 'Mrs. Herriton']",Explicit,Lilia was already calling to Miss Abbott,"[['Caroline', 'Caroline', 'your', 'you']]","[[[2303, 2311], [2316, 2324], [2338, 2342], [2372, 2375]]]","[[['Caroline Abbott'], ['Caroline Abbott'], ['Caroline Abbott'], ['Caroline Abbott']]]"
Q9,"Handkerchiefs and collars, in my inlaid box! I ve
lent you my inlaid box.","['Handkerchiefs and collars,', 'in my inlaid box! I ve\nlent you my inlaid box.']","[[3014, 3040], [3061, 3107]]",Harriet,"['Mrs. Theobald', 'Lilia', 'Irma', 'Mr. Herriton', 'Mrs. Herriton']",Explicit,screamed Harriet,"[[], ['you']]","[[], [[3089, 3092]]]","[[], [['Lilia']]]"
